Line_Number,Dominant_Topic_Number,Percentage_Contribution,Keywords_In_Dominant_Topic,Sentences
44,3,94.19 %,"doctor, patient, not, pay, healthcare, people, do, insurance, system, time","HIV/AIDS patients should get coupons on their medications and also have an affordable specialized doctor to visit for regular check-ups. Also, they can be used for the process of trying to find a cure for the disease."
45,0,61.18 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",More restrictions should be placed on receiving Medicaid so that people who are lazy and really just want to rely on the government for help will be less likely to get it.
46,3,66.96 %,"doctor, patient, not, pay, healthcare, people, do, insurance, system, time",There should be more pharmacy with a local doctor or physician to conveniently get your medication and check-up at the same time
47,0,810.35 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","Another thing, I would like to mention from the previous post, they are: To the Disable people, HIV/AIDS patients, etc. serious diseases, they must to be treated fairly and appropriate to the normal people, or may be better than those because they are even weaker and depress for along time may be the whole life even with mental, physical, or social health. To the LGBT community, they also needs to be treated equally to other people regardless race, age, background, etc. And this is the task of the health care providers who are responsible in providing them the best quality health service. People who is in the Nursing home would be suffered so many problems and can't get away from aging, so they need to have a good care even about mental, physical, and social health treatment to make them enjoy the rest of life. It should be more health care show or programs as many health issue commercials to everyone to make an announcement or warning about any thing related to health like overdosing, street drug, eating habitat, passive life style, unhealthy behaviors,smoking, drinking, STDs, HIV thread, etc. There are now many and many case of rape related in the healthcare system, so it needs to pass a law or some restriction rules to reduce this issue as guaranteed the good working environment to all healthcare employees."
48,0,212.11 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","Yes, but not all people are like what you say. As I know there are so many people who are very lazy and dependence, but there are also people who get really sick and serious illness that they can not afford by themselves to pay for the medication as well as other health issues"
49,0,75.69 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","I agree with you, it needs to have more to get the better health service and even though saving time and money."
50,0,122.41 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","I agree. Although healthcare covers most things, these specialized areas shouldn't be neglected, and should also recieve the same ammount of care, if not more, than the amount given in general healthcare."
51,0,76.42 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",Regular check ups on physicians should be required to make sure that they still have morals and values and really do care about the patients rather than they're paychecks.
52,3,69.34 %,"doctor, patient, not, pay, healthcare, people, do, insurance, system, time",The new technology would also reduce the amount of time that surgery would or regular everyday visits would take. Also with new things coming out there should be seminars for them to be displayed so that the doctors have a chance of purchasing them.
53,0,126.89 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",Support groups for people that are chronically ill should be provided by the government so that they have a better chance of thriving in life and not just to know that other people suffer but that they can help each other live a healthier lifestyle to try and relieve some pain and maybe even live longer.
54,0,128.98 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",If Medicare/Medicaid would crack down on the system and actually administer to the people who need it then taxes would probably go down because the government would not have to put so much money towards the healthcare system.
55,0,83.76 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","Assistant living for the elderly should be more affordable so that the nursing homes will not be so crowded, because some elderly people resort to the nursing home since that is all they're insurance will cover."
56,0,58.69 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",Maintaining a good healthcare system is the key reason so maybe the government should really evaluate this area more than all the other ones.
57,0,390.64 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","The budget for the healthcare services is reducing. So it needs to be considered to increase that amount of money. If the citizens are healthy, that means the country is also ""healthy"" too. Some new researches in Health science should be encouraged and granted by the governments or other foundations help the young new scientists to find the new methods and better cures for the patients or even a whole healthcare systems. Working hard will Many people are complaining about the healthcare insurance, not Medicare or Medicaid, so, there has to be some social benefits to qualify for those who are not getting enough financial supports for it. There must be some new hospitals build to server enough for the increasing patients where the old one is insufficient and does not well-qualified for the whole service. Any specialists or nurses who violate the policy or rules must be charged based on the scale of what errors they make during the healthcare services as will be a good model for others to obey and minimize the errors from little to zero."
58,0,56.22 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",I agree with you. even there are some people who cheat on this to get the free benefits for them.
59,0,111.34 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",Healthcare services is such a business where people who are insured will get the best service as they pay for what they receive.
60,0,116.12 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",That would be great! But people are in the way of busy working life so it needs the quick and fast service to serve as many people as it is and done well!
61,0,115.46 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","Yes I agree. In doing so, it would also reduce the funds required for those who don't care as much, for funding should only go to those who actually care."
62,0,110.12 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","This method sounds pretty solid in my opinion. The only problem is that sometimes there are more sick people than anticipated, and there isn't enough healthcare to deal with the amount of sickness that is presented."
63,0,230.19 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","As technology grows more advanced day after day, at some point there is going to be a way to monitor all of those who truly need healthcare. Hopefully people can do all of the necessary things to get the help they need, and get on track to becoming healthier. At this time, there should also be enough medication and staff to deal with those that need healthcare, for without the staff and supplies, healthcare will decrease, and more people will remain sick and die. At the rate technology is evolving, there should already be a system, unfortunately not everyone can be trusted with medication and the help that the staff provides."
64,0,23.79 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","But it will be very difficult to draw the line of what will fit under ""emergency"" if those visits are free completely. It should probably be at a more reasonable cost instead."
65,0,56.07 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","I think medical research is a big factor in providing adequate healthcare. More funding should be available to researchers to find cures for diseases, new techniques for procedures, new drugs, and ways to prevent illnesses."
66,0,136.29 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","I don't think that having a pharmacy and physician together will really make that much of a difference. there are more important things than making it ""convenient"" for the patient so they don't have to drive to a pharmacy. I'd rather have a more fit physician and pharmacist instead."
67,0,132.21 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",I agree and the more technology advances the more job opportunities for people without jobs leading to less dependent people on healthcare.
68,0,91.94 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",I agree on more research towards diseases which is one of the main sources of healthcare because if a cure is discovered then it gives the people who are ill to live healthy lives and get back on their feet.
69,4,50.05 %,"healthcare, people, pay, make, insurance, healthy, care, time, food, service",I think the education of healthcare needs to be improved.
70,4,73.32 %,"healthcare, people, pay, make, insurance, healthy, care, time, food, service","Finance is a sticky situation. I think the cost of healthcare should equally represent the benefits received, so in some ways the cost should be lowered."
71,0,30.37 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",Emergency room services need to improve. The hours to wait and the services provided are horrible.
72,0,190.46 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","Money could be a reason why for both. There should be a better investment for healthcare. No money means no pay which makes for a poor satisfaction and poor care to patients, and not enough people to operate the emergency rooms."
73,0,220.87 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","I don't want to see the healthcare system go away. The healthcare system itself is good, but the providers in charge of it need to be changed. I think if you take a group of people who are on the lower economy scale, dependent on healthcare, and have them either advise or run healthcare then maybe it would be in better standing."
74,0,182.65 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","In a touchy subject, healthcare has become too political. It's main focus should be the well being of sick, disabled and retired people. But now it's revolved around budget cuts, and as long as money is flowing around it doesn't matter if a veteran is lying on his deathbed because he doesn't have insurance to help him."
75,4,268.71 %,"healthcare, people, pay, make, insurance, healthy, care, time, food, service","What if there was healthcare for a range of income? Or is there already? If there isn't then why not have higher income families pay a portion towards healthcare that they can afford, and then lower income families pay a portion that they can afford. It would be healthcare for all in a sense, but all of us would pay a different amount. A reasonable amount. ? :)"
76,0,127.28 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",I personally believe that healthcare in this country is too expensive and frankly people on a budget do not see it necessary to obtain one. I believe that minor health problems should be free.
77,0,244.71 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","I have no problem with health insurance, however, I find that people pay unnecessarily for services that they do not need. Meanwhile those who need it cannot afford to pay for health care."
78,0,263.79 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",I find that health insurance only covers very little health concerns. Good health is not a guarantee so there should be others ways that people pay for health services.
79,0,176.0 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",I don't necessarily think that lack of health care education is a problem I think people who are uninformed remain that way because they cannot afford it.
80,0,70.88 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",There should be a clear distinction between providing healthcare to make a profit and healthcare for the less fortunate
81,0,279.53 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","i do not have much knowledge on the health care procedures, i believe that every employer should provide health care for their employees and families. Anyone who is not willing to work should buy health insurance independently and people who are disabled or old should be either on medicare or medicaid."
82,0,80.92 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",American people should not be responsible to pay for services that they do not require
83,0,484.67 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","I agree that the education about the health care system should be improved. I don't think it's a problem because people remain that way because they can't afford it. Yes, some people may choose not to learn more about it, but that's cause they might not feel the need to and that's why they feel less informed when asked about changes/improvements to the healthcare system. For example, young adults who are covered for healthcare by their parent's employers don't feel the need to learn about health care because they don't have to pay for it and it's not a concern for them."
84,0,62.02 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","I don't have much knowledge on healthcare or the financing, but this idea seems fair."
85,4,42.25 %,"healthcare, people, pay, make, insurance, healthy, care, time, food, service",What are the problems with healthcare in America?
86,0,58.24 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","We can look at what other countries are doing and how they are doing it. And while this isn't specifically healthcare-related, we could put more focus on national happiness."
87,0,235.95 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","emergency rooms are for ""emergencies.""  a lot of times people go to them because they don't have a pcp, don't have the money for said pcp...so going to the emergency with a minor problem causes backups and long waits for people with more serious emergencies...so we could make pcps more accessible to everyone on all types of income"
88,0,65.7 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","maybe educating the ""youth"" about healthcare or healthy habits will get them interested and start wanting to learn more...or at the least, make them aware of how to live ""healthy"" so that they'll be less likely to be obese, reckless, etc."
89,0,492.95 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","i think that most health care professionals try to focus on the sick, disabled, and retired people, but because many people don't have insurances or enough insurance, when they use medical services, those services aren't paid for.  Since they aren't paid for then the drs' nurses' medical profs. have to be mindful of money and services.  ideally money would have no part of receiving medical aide/help, but in reality, someone has to pay for services.  if no one pays, then services are less ""good"" or non-existent"
90,0,821.97 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","i dont think that a different outlook or perspective will change health care that much if any.  someone who has less of an income than one who is overly wealthy are still both logical thinking people.  what it comes down to is that healthcare profs. have budgets.  users of health care services have bills.  if bills are paid, then budgets stay the same or increase.  if bills aren't paid, then budgets are lowered.  when budgets are lowered then so are services, treatment quality, staff...it's all connected and eventually plummets because hospitals/healthcare has to pay to people to work. if they can't pay because ""users"" dont pay their bills, then everything goes to crap....make people pay their bills, (either hold them personally reliable if no insurance, hold the insurance if they have it or make people HAVE insurance so that somewhere, someone can get paid and continue to work."
91,0,506.53 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","i dont think that when you insurance that you are paying for services that you wont use.  just like car insur. you buy it because if ever you need it, it will be there.  you are paying for reassurance/stability/future help; not for something you wont need or ever use.  same with healthcare and insurance.  every should PAY SOMETHING just to be prepared.  make a separate item/deduction/tax on our paychecks so that we pay a little more to be safe.  and for people who can't afford to pay/dont work because sick/old/disabled, then either put into place more restrictions/people to monitor EFFECTIVELY there status for not working by way of sick/old/disabled to make sure that if anything changes, i.e. they become able-bodied, then the get to work to help out the others/pay it forward.."
92,0,74.88 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","i dont think that another country's plan will necessarily work for the U.S.  every country is different; maybe they start their youlth/middle aged/elderly off on different tracks/have different ideologies that are DIFFERENT from the U.S.;  find what works here then do it.  and if that means trying out a dozen different things before we get that lucky 13th, then thats what we should do."
93,0,156.28 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","take out health care altogether and only have independent drs.  then let people use ""private pay"" to do what they need to.  if some can't afford it, then they can't afford it.."
94,0,248.92 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","A lot of you are concerned with cost, which yes I agree is a problem a lot of people who need medical care cannot afford it and may go into debt after seeking medical treatment. Sometimes it's hard to understand that medial care cost as much as it does because the equipment and medicines are very expensive. Medical technology is hard to keep up with and most facilities can't afford to get the things they need. If we did more research on finding cheaper more efficient ways to develop medical technology there would be a trickle down affect with cost."
95,0,200.31 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","By law most people (ages 5-18) are required to go to school a certain number of days a year. We could have more programs in schools that inform students on healthcare and other health related issues. It is required to take an American government course to graduate most high schools and colleges, why not a course on the American healthcare system?"
96,0,178.61 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","This isn't really fair, and most doctors aren't able to run practice independently without governmental assistance. What if the doctors were more in charge of their own practice and were able to work out payment plans and negotiate without governmental interference. A good majority of the decisions doctors make are influenced by insurance companies and the government."
97,0,135.42 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","Denmark is happiest country in the world; meaning Denmark has the happiest citizens. They have free healthcare, absolutely free regardless of who you are no questions asked. They also have a 15% tax rate meaning 15% of their money goes to the government. Is the trade off worth it and will people be willing to make that sacrifice?"
98,0,86.67 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","I agree! Even I don't know everything about the healthcare system, and my family lives off of it. Eventually the youth is going to be in charge, so we need to know about how to run it."
99,0,201.78 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","okay I see where you are coming from, but how do we get people to pay? Some people are just skimming the ice making what they can for their families, so they feel the need that some bills don't need to be paid. We can't just force them, or can we??"
100,0,95.03 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","I honestly don't know anymore. My ideas now are coming from a futuristic book I've read once where everyone was split into districts and they produced what they could in that area. Maybe we could do the same, but instead we'd be split based on income and needs. We pay for what we can afford, and we receive what we put effort into...I know it's sketchy though because some of us deserve more than what we work now based on previous efforts, so maybe we can accommodate that too...???"
101,0,104.88 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","I agree, but we need to be cautious about how many systems we adopt because eventually we might burn out and people won't be happy if we continue to constantly change our system...?"
102,0,211.5 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","mental health care should be easily accessible because it is one of the main causes of destruction and violence in America. I mean, a number of people cannot afford to obtain this kind of health care and as such they are forced to suffer in silence."
103,2,114.81 %,"pay, healthcare, doctor, insurance, system, people, patient, education, hospital, cost","there is a definite need for more doctors, i believe this is a problem because a lot of dedicated doctors took a heavy loan and spend a long time paying off their dept that it is not encouraging for high school students to even consider that path, its just too much dept and too long"
104,0,422.5 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","Force is a harsh word, but yes, I think that people who don't have healthcare or don't pay/have the means to pay their bills should be forced.  Single/divorced parents ask the courts to have the other parent pay; the other parent's wages are garnished; the petitioner get his/her owed child support.  The same could/should be done with society and medical bills.  A family may just be skimming by with their most/more important bills, but $5 or $10 a month will, eventually, get their bills paid and will help cover the costs that they use.  Over time, the health profs., drs., nurses, etc. will have more funding available and so we can stop the decline in health care and begin with an incline."
105,0,19.71 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","I have never actually been to an emergency room, but I have been told that it just is not worth it. Apparently, the queue is too long and forms take too long to fill but, most importantly it just cost way too much."
106,0,114.15 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system",That's a good question- will people of the US be willing to pay the tax rate that will enormously help provide free healthcare for all citizens?
107,0,384.01 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","I agree with being cautious.  But, as a whole/as a country, with one change in how health care works, we've seen society go crazy.  With any change, there will be people who get mad, but I think that if we work, regardless of people burnout/get angry, towards a ""good"" system that benefits all Americans to some sort of extent, then we as a whole will be able to over look the trouble it took us to get there.  Other countries didn't just invent/put into place a ""good"" working health care system overnight; it took time to develop and implement it."
108,4,107.95 %,"healthcare, people, pay, make, insurance, healthy, care, time, food, service",there is too much of a conflict in this country about healthcare in as much as it would be a fantastic thing to have a free healthcare system in this country i still believe that this would not solve the problem...there would still be some very unhappy chaps in America
109,0,83.64 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","forcing them is not the issue, i believe it is the role of the government to make them understand that healthcare bills are the ones worth paying"
110,0,443.02 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","To be honest, 15% is probably the median when it comes to healthcare costs at the moment.  We pay about $200/month for our family's insurance and that is about the same percentage in how much my wife brings in/month.  If everyone has to pay a higher tax rate, I would be somewhat upset because then I would be paying more a month.  But if we really think about it, with the amount that we pay in taxes and insurance /month, if you have insurance or work, will most likely be the same amount.  For some cheaper (if you have a low paying job), and for some more expensive (if you have a high paying job or multiple incomes).  Yes we would be paying ""more,"" but the quality of health care would go up because they have their money/the funds to adequately treat and prevent and wouldn't have to worry about money."
111,0,196.06 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","This is a good idea. It's like how students are required to take classes about the American economy and government. Although many are only required to take it for a semester, and I think these two are very important classes. Many students don't learn a lot or retain a lot from these courses, yet the information is vital. It could either be a separate course or integrated into another course mandatory for students, but it's very important for students to learn about the health care system as well as the American economy and government."
112,5,20.96 %,"system, healthcare, insurance, pay, time, care, health, fix, call, emergency","some would be unhappy, but with time they will get over it, (most of them anyway)."
113,1,56.81 %,"health, care, healthcare, not, pay, doctor, do, people, money, make",I think that this is a great idea.  Maybe even start it earlier like in elementary.  Have this incorporated into recess or P.E./health class/social studies so that the students grow up with it.
114,0,187.29 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","Of course a free healthcare system won't solve everyone's happiness. It would take care of everyone's health, but inevitably there will be people who are unhappy for whatever reason."
115,0,743.85 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","Why don't people have more control over their health care? People complain about insurance companies, cost of medical care, treatment, everything a person could complain about! If people had more of a say they would feel like they get what they pay for and be more satisfied with the health care system. People like to have control, give patients more rights to decide on what they want. Don't allow insurance companies to make our decisions for us, but then here comes the problem of education... most people don't even know their options... How can we give people more control?"
116,0,408.66 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","So let's talk about free health care. It sounds fantastic! I would absolutely love to have free health care in the US, but we have never had free health care. Does anyone realize how many jobs would be lost? There would be no more medical insurance companies... Do you realize how many people are employed there? Also the quality of medical care would go down, the general attitude of medical staff would be ""well I'm getting paid anyway."""
117,0,497.82 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","The way free health care works in other countries is that people still have insurance in case of very serious cases, however, free healthcare is administered to people to educate them on how to take very good care of their bodies and not attain very contagious diseases. for example the general check-ups and the occasional flu will be treated under the free health care system. But, emergencies will require a valid health insurance. by doing this the price of prescription drugs will be elevated and insurance might be able to cover this; so it will still be necessary to have insurance."
118,0,138.96 %,"people, health, care, healthcare, pay, not, insurance, make, doctor, system","The attitudes of medical healthcare professional is not very different now, a number of doctors and medical practitioners are only interested in the salary, that is why medicare and medicaid fraud are on their highest ever right now. I understand that doctors deserve the pay that they get mainly because they spend so much healthcare plan might work."
