Line_Number,Dominant_Topic_Number,Percentage_Contribution,Keywords_In_Dominant_Topic,Sentences
28,2,20.34 %,"health, care, system, time, service, insurance, healthcare, family, give, good","Seeing a dietician/nutritionist would also give the person a better picture as to where their health is, and how to improve it, to avoid going to the doctor at all."
36,2,40.12 %,"health, care, system, time, service, insurance, healthcare, family, give, good","The healthcare system must be changed in some features: The healthcare cost must be reduced as much as it is to help the low income or unemployed people or family to afford. OBAMA Care should be forced to bring the best health care services to everybody regardless their ability to pay for the Hospital bill In the education system, the doctors, specialists, or practitioners should be deep educated and good trained as well to give the best service to the patient and their family and I think this part is Okay. In order to save time and money, medical technology should be given and improve to give the best health care service for patients. For example, like we can use the robots instead of doctors to do an surgery, or using new invented radiology scanner to reduce the radio way, UV ray, ultrasound wave, etc. Everybody should be given the equal health care services as the cost should be low like in Canada, or Australia. Insurance, as in Obama Care that all people must obtain it regardless they never get sick. Although it may affect to the health service, but people will have more option in taking care their health more efficiency. Moreover, the education should teach all the doctors, physicians, specialist, nurses, or any people who work in the healthcare that the patient health is the most important than anything else, instead of taking their insurance or making a fast diagnostic. And I am looking for this aspect because as I see, there is not many doctors, physician, specialists, or nurses pay attention to this particular topic. Medicine should be lowered in price as in the generic medication that everybody can afford to buy though they have insurance or not. And this may help people more taking care for their health. Lastly, maintaining a good health is the best way to make we live better and we don't need to get the healthcare services every time we get sick unless we are getting old and need people to take care."
47,2,36.35 %,"health, care, system, time, service, insurance, healthcare, family, give, good","Another thing, I would like to mention from the previous post, they are: To the Disable people, HIV/AIDS patients, etc. serious diseases, they must to be treated fairly and appropriate to the normal people, or may be better than those because they are even weaker and depress for along time may be the whole life even with mental, physical, or social health. To the LGBT community, they also needs to be treated equally to other people regardless race, age, background, etc. And this is the task of the health care providers who are responsible in providing them the best quality health service. People who is in the Nursing home would be suffered so many problems and can't get away from aging, so they need to have a good care even about mental, physical, and social health treatment to make them enjoy the rest of life. It should be more health care show or programs as many health issue commercials to everyone to make an announcement or warning about any thing related to health like overdosing, street drug, eating habitat, passive life style, unhealthy behaviors,smoking, drinking, STDs, HIV thread, etc. There are now many and many case of rape related in the healthcare system, so it needs to pass a law or some restriction rules to reduce this issue as guaranteed the good working environment to all healthcare employees."
49,2,23.21 %,"health, care, system, time, service, insurance, healthcare, family, give, good","I agree with you, it needs to have more to get the better health service and even though saving time and money."
19,2,22.61 %,"health, care, system, time, service, insurance, healthcare, family, give, good",There should be a universal healthcare system. Insurance companies are a big problem today
2,2,25.0 %,"health, care, system, time, service, insurance, healthcare, family, give, good","Every health insurance in America should provide 2 to 3 free clinical check ups for a family of 3 or more, and 1 to 2 for single households."
14,2,24.52 %,"health, care, system, time, service, insurance, healthcare, family, give, good",The government could pull out all money going into the healthcare system and the country would just have to build itself back up by people helping each other out.
4,2,22.41 %,"health, care, system, time, service, insurance, healthcare, family, give, good",Insurance companies should make the co-payments based upon yearly household income.
5,2,21.6 %,"health, care, system, time, service, insurance, healthcare, family, give, good",This will help with people actually staying current on their health.
1,3,22.01 %,"pay, emergency, problem, cost, price, medicaid, clinic, money, hospital, company",with the exception of the elderly and the youth
45,3,21.05 %,"pay, emergency, problem, cost, price, medicaid, clinic, money, hospital, company",More restrictions should be placed on receiving Medicaid so that people who are lazy and really just want to rely on the government for help will be less likely to get it.
3,3,22.03 %,"pay, emergency, problem, cost, price, medicaid, clinic, money, hospital, company",medicare/medicaid should be equal people of all income but at the same time affordable
43,3,28.81 %,"pay, emergency, problem, cost, price, medicaid, clinic, money, hospital, company",More studies should go into looking at the patterns and trends of certain outbreaks globally and try to figure out a way to prevent them from continuously spreading.
6,3,24.14 %,"pay, emergency, problem, cost, price, medicaid, clinic, money, hospital, company","Medicare/Medicaid should get a ""flex card"" with so much money on it yearly so that will be able to pay for at least their prescriptions."
8,3,22.57 %,"pay, emergency, problem, cost, price, medicaid, clinic, money, hospital, company",Physicians should evaluate and give tips to people who say they are having problems with certain issues before just automatically diagnose them with some disease that causes them to have to take medicine that they can become dependent on and start to abuse.
35,3,20.85 %,"pay, emergency, problem, cost, price, medicaid, clinic, money, hospital, company","True, so they won't be wasting money on false diagnoses. This would also make the system more reliable to the public, knowing that doctors have to stay current with the diseases and their symptoms."
11,3,22.05 %,"pay, emergency, problem, cost, price, medicaid, clinic, money, hospital, company",Physicians need to go to seminars and small courses to stay current on new things in the health world and what type of diseases have been detected lately so that less misdiagnosing occurs.
29,3,22.81 %,"pay, emergency, problem, cost, price, medicaid, clinic, money, hospital, company","I agree, but I feel that for those unemployed or have no intention of getting a job may have an issue paying it."
23,3,23.63 %,"pay, emergency, problem, cost, price, medicaid, clinic, money, hospital, company",Physicians should pay attention more to figuring out the cause of a particular problem rather than prescribing drugs to alleviate symptoms--more money gone to drugs and illness not cured
17,3,24.81 %,"pay, emergency, problem, cost, price, medicaid, clinic, money, hospital, company",Birth control should be free so that pregnancies will decrease and Medicaid won't have to provide for that person and the unborn child as well.
12,3,25.0 %,"pay, emergency, problem, cost, price, medicaid, clinic, money, hospital, company",Emergency room visits should be less expensive. And pharmacies should have a small in and out clinics with reasonable prices for emergencies less severe than hospital attention for anyone with or without insurance.
33,4,24.32 %,"drug, patient, medication, prescribe, agree, attention, reduce, monitor, medical, age","Also, the mentally ill/disabled"
18,4,22.93 %,"drug, patient, medication, prescribe, agree, attention, reduce, monitor, medical, age",Seeing a dietician or a nutritionist should be free at least once a year so maybe that will cut back on visiting the primary doctor so much because natural health is sufficient and they are less likely to get ill.
25,4,22.03 %,"drug, patient, medication, prescribe, agree, attention, reduce, monitor, medical, age","True, because sometimes money for drugs could result in substance abuse for certain cases."
13,4,24.48 %,"drug, patient, medication, prescribe, agree, attention, reduce, monitor, medical, age",Nursing homes should be covered by Medicare since some elderly do not have family that can afford it but need their loved ones to be monitored.
41,4,27.86 %,"drug, patient, medication, prescribe, agree, attention, reduce, monitor, medical, age",Physicians should be monitored on what and how much they are prescribing to their patients because this may crack down on them getting certain drugs for promotional purposes and receiving things from the drug companies that they would normally not get if they were not prescribing these drugs. It is all about the money in these cases so some doctors really are not considered with their patients health.
40,4,21.51 %,"drug, patient, medication, prescribe, agree, attention, reduce, monitor, medical, age",More clinics similar to Care-Now should be open but they should have family medicine doctors there so that misdiagnosing will be less likely to occur and the prescribing of drugs will be less likely to happen
39,4,22.95 %,"drug, patient, medication, prescribe, agree, attention, reduce, monitor, medical, age",This would reduce the cost of the prescribed drug then people would be able to afford it as well as have the oppurtunity to actually buy the medication that they need to take on a regular basis.
38,4,21.19 %,"drug, patient, medication, prescribe, agree, attention, reduce, monitor, medical, age",I think the generic should be get off to let the main one reduce in cost
37,4,22.22 %,"drug, patient, medication, prescribe, agree, attention, reduce, monitor, medical, age","i agree because the women needs to be treated fairly as men and other aspects like age, gender, sexuality, education, family background, etc."
20,4,23.92 %,"drug, patient, medication, prescribe, agree, attention, reduce, monitor, medical, age",Physicians misdiagnosing patients is happening more often. The physicians should be evaluated regulary so it reduces the risk
31,4,25.99 %,"drug, patient, medication, prescribe, agree, attention, reduce, monitor, medical, age","I agree, because doing so would make the system more efficient without sending people away who actually need it. Also, you could get a better tab on how much of the substance is being used, and the doctor can tell if the patient is abusing the substance or not."
0,4,24.16 %,"drug, patient, medication, prescribe, agree, attention, reduce, monitor, medical, age",The health care system should finance more money the people who are less healthy and ill or have some sort of disease and not as much to the people who are regularly healthy
