Line_Number,Dominant_Topic_Number,Percentage_Contribution,Keywords_In_Dominant_Topic,Sentences
1777,0,28.3 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","The idea of universal healthcare is a good idea, however seeing how people ""abuse"" that liberty in the military sense (as far as dependents go) if that was more widespread, it wouldn't be good for our economy."
1327,0,20.61 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Maybe america should look at other established countries and see if it working for those countries.
1326,0,24.95 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","Not everybody is going to fully support the healthcare system. Not everyone is going to be happy, but the healthcare system should be redone to satisfy the needs of the american people"
1762,0,19.87 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","We don't have universal healthcare,yet."
1781,0,20.99 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Take the government out of the Healthcare system ASAP.
703,0,18.45 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Increase funding for NASA so better technology is created that could be used for medical use.
1350,0,20.4 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Get rid of welfare programs. laziness can cause obesity.
318,0,20.4 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Legalize abortion in all states and make it more affordable.
1684,0,19.14 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Out of all government spending we should be sure that healthcare is a priority
623,0,19.44 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",People who don't have insurance should be able to claim their medical in a more itemized way on their taxes.
1394,0,21.43 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","Although the government can somehow help us in ways if we cannot afford, we should not ALWAYS rely on government.The government is already in enough debt."
631,0,24.29 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",maybe a good one would be having a universal system for every hospital where all of the patient`s information is stored and use only that one system or program.
310,0,20.24 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Intensify a committee that will find the perfect healthcare system for the US.
1694,0,21.41 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","I like the sounds of this, any ideas on who this would be approached? how do we keep the first time parent out of the ER cause the kid is crying louder? will there be enough providers to handle the mass workload from the ER? I would like to hear what you guys/gals have on this one, might be the most practical idea generated thus far."
701,0,22.61 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Allow zombie apocalypse to occur so then a good amount of the population no longer needs healthcare.
305,0,20.61 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","The healthcare system should be taught in high school, like in government or something."
651,0,19.8 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","I agree, there should be more facilities that provide that option for STI's and etc."
1714,0,24.66 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","I see that there are similarities throughout this entire thread of ideas. After reading everyone's ideas it's obvious that what we need is education on health/healthcare system, even distribution of money in FAIR ways to both the people receiving care and the hospitals/staff running these procedures, and to somehow get the rich to be more considerate of the poor. In the end it's hard to say that these are at all possible to achieve (with there being so many people in the world). Maybe education on the subject could spark the fire."
293,0,21.64 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Healthcare System should be talked about more than how it really is right now. Most people do not know much about the healthcare system and it should be known to them as it affects them.
670,0,28.89 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","Establish a HealthCare system proper of a developed nation, as the Universal Healthcare systems used throughout Europe."
671,0,20.81 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",HealthCare system funding should come from tax revenue.
1374,0,19.5 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","the more the government helps out the unemployed, the less motivated they become"
676,0,20.99 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",I think Obama has done a good job with his healthcare system
648,0,19.5 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",I agree this is a great idea
1782,0,23.81 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Universal HealthCare sounds good if it were not for illegals using all of the resources.
1325,0,19.02 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Healthcare providers should take the time to fully understand what is wrong with the patient and not just blow it off or just assume something else.
1324,0,21.38 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",I think all americans should know what our current healthcare is all about.
1263,0,18.83 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","Yes I agree with this. Our ERs are too expensive even though you don't show a serious injury , or you need a minimum help. The cost must be reduced, and help should be provided right away."
789,0,23.75 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Have the healthcare system charge a price of $1.00 - $10.00 for a dental plan depending on income.
1816,0,18.32 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",I think there should be mandatory yearly mental health screenings (just as there are required shots) just because that's not something you usually think about.
790,0,17.95 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",$5 checkup? Take that subway.
1817,0,23.09 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","Affordability, quality and accessibility are some of the characteristics of a good healthcare system. Quality;          Quality is one of the most important property of any healthcare system. In order to practice a great quality healthcare system, health practitioners (doctors, dentists, nurses, pharmacist..... e.t.c)  must be well trained. This training might include educational learning like in medical schools and the ability to operate all kinds of tools, soft wares, and equipments needed to carryout their respective roles. This training should also include social skills like interpersonal skill, empathy, communication skills and critical thinking skills. Also, in order to provide better healthcare, healthcare facilities must be well equipped, easily accessible, and up to date in terms of modernization. Accessibility;      Apart from having a quality healthcare system, patients must be accessible to the quality care that is available whether they can afford it or not. To me I don't think that any thing wards someone's life; no matter their race, religion or ethnicity. I personally think it is very wrong to turn somebody down because they can not afford to pay. It is sad that a lot of people are being refused of prescription at the pharmacy because they can not pay for it and at the same time we can really blame those people in the pharmacy business.  I think the whole problem is systematic that every angle has a component to contribute to the healthcare problems we have."
1818,0,22.88 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","For one how  is the private sector going to do anything better. The people receiving the care, cannot hold the private sector accountable. Yet, you can always challenge the government when it does something wrong, its called supreme court cases. Second, it is inhumane to not give somebody healthcare because they are not a citizen of the US. Third it is the private companies that set the the price, the private sector is only concerned with profit, which in turn means worst financial strain on the care receiver."
1819,0,19.44 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","That is one part of the healthcare system that neglects. For some reason,people seem to think it dosent really matter when psychologist constantly say it is."
1810,0,22.81 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",This current healthcare bill will do nothing of the sorts. Individual prices have soared.
799,0,18.79 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","Lets educate people, let them know how the healthcare system works"
1239,0,19.35 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","The government should provide budget for research such as : advanced surgical tools, robotic controlled surgeries, and new surgical procedures."
822,0,18.79 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",people should work to earn healthcare benefits
178,0,23.67 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","The benefits or welfare checks are supposed to be in effect for the person receiving it for certain amount of years, I think that's a max of 5 years to be in the program. I do think it should be harder for it to gain those benefits or put more guidelines and rules to keep getting welfare."
176,0,25.7 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","True story, a man that couldn't afford an operation that was life threatening decided to do a crime(i think rob), he got arrested pleaded guilty and upon entering the criminal system was able to get his life saving operation. Also, I don't think universal healthcare would work in any way shape or form. It's good in a sense but if you put into practice, let's say Canada... Good luck not waiting for 8 months. (overreacting of course.)"
841,0,18.3 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",only do procedures that are necessary
1842,0,18.59 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","legalize marijuana to be used as a ""better"" alternative to certain psychiatric drugs"
1214,0,21.33 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","abortions need to have a rising price tag per operation. 1 abortion is bad enough, any more is a sign of lack of responsibility and stupidity, and they should be fined for it."
193,0,22.73 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",An advertise program that has celebrities/professional sport players eating/drinking health food/drinks. Everyone takes in to consideration be it negative or positive about the ad and when they are shopping.
1809,0,19.19 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","Regulation yes, determining who should receive a type of healthcare then no."
778,0,19.35 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","Provide free condoms at local drug stores, but have an I.D presented before they pick it up."
772,0,20.24 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","Destroy the current healthcare system and start up a new, free one."
1321,0,19.21 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","As americans we should be taking care of our bodies and not allowing ourselves to be put in the situation where we would have to go to a healthcare facility, but stuff happens that we cant stop."
1319,0,20.77 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",The technology in todays current era has increased allowing for new discoveries and cures to be found. All healthcare facilities should be updated.
1786,0,21.26 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",If tax payers fund the research than the Tax payer should benefit from research..
1315,0,24.95 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","I believe everyone deserves healthcare, but the current healthcare system proposed is wrong."
1311,0,18.45 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Healthcare insurance needs a whole makeover.
740,0,18.79 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",I want a cookie every time my dentist says my teeth are good.
1793,0,26.2 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","That's what the current healthcare bill will do. Since its so expensive,which its not , most hospitals will have to reduce their prices because the government is stepping in. The prices are overly overpriced and should not be, the cost of chemo in other developed countries, is much lower than here in the US."
1795,0,27.0 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","I agree to a point but, the reason its so expensive in the US is because the healthcare system has been virtually unwatched. The insurance companies have basically created an oligarchy which they all agree on a certain price for everything, which in return they all gain money. A flu shot in the UK is 10 dollars. The drastic influx of prices in the US is criminal, government needed to step in, just like when the government took down monopolies."
1798,0,22.02 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","I personally don't see how the government stays out of healthcare. If the government doesn't somewhat regulate it, then who will?"
1296,0,21.48 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","I think that most Americans should have the same level of insurance care. Although health insurance prices differs, some americans are just more fortunate than others."
446,0,22.02 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",create a system that will provide maximum benefits to everyone of all backgrounds
760,0,22.6 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","It's definitely a good start. Since the world is watching how the US handles this problem of not having an established healthcare system, it should only get better."
1805,0,29.47 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","If were asking to eliminate fraud then the government needs to step out of the equation. The government allows those who are in America illegally to receive care, which in turns makes prices go up. But since the govenment basically decides what it deams fraudulent then prices will never go down."
1806,0,32.34 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","If you smoke- than you cannot receive healthcare for any known affects that smoking causes. If you became obese- You should not receive healthcare for known affects that obesity causes. If you will not find a job than healthcare should not be admitted to you. If you get pregnant before the age of 21 you should not receive healthcare. If you are here illegal, you should not receive healthcare. IF you are here for school only, you should not receive healthcare. All of these including more would make the cost of healthcare to go down."
768,0,24.33 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","Include dental plan in healthcare system, if not free, then for a reasonable price."
1807,0,18.52 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",If someone refuses healthcare than we all should respect that individuals right.
1808,0,19.27 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","Funding mostly comes from the GOVERNMENT which really means TAXPAYERS, yet when the research is done, the companies who received all this funding then charges the TAXPAYERS outrageous prices. IF it comes from private funding than we have no say to what they can charge."
1681,0,22.79 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","Healthcare insurance should be like good credit, better health better benefits (excluding preexisting conditions of course)."
162,0,24.35 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","Educating the young in middle and high school with actual programs to expand upon the potential risks of smoking, sex, and other health concerns could be very beneficial if funding went to having a good program set forth."
1398,0,18.3 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Definitely agreed.
616,0,19.73 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",we actually have one of the worst healthcare systems but we can improve if everyone can come together to focus on more effective ways to make the system better
410,0,19.21 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",i agree. having good and affordable healthcare would prevent this because there would be help for the costs from your health insurance provider
1593,0,20.78 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",and other countries that provide free healthcare
1531,0,18.79 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",The society should get more informed of current sicknesses in their districts.
1530,0,20.61 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Every person has the same rights. Everybody deserves perfect healthcare until his last heartbeat.
1529,0,19.81 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","The healthcare system should look how healthcare systems in other countries working. In Germany is a health insurance mandatory and this is right. Life is not predictable and every day something bad can happen to everybody. Because of this, the U.S needs a mandatory health insurance. This insurance should cover everyday problems like sports injuries or financial support for people with eyes disabilities. For people who want to be covered better is still the opportunity to pay more and get more."
512,0,21.64 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",states simply cannot support all the healthcare funds without federal support
403,0,19.14 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",no patient can be turned away by any healthcare provider
413,0,19.21 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",increase the stock of vaccinations in grocery stores and at other popular places with pharmacy sections
515,0,28.89 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","individual states can act as a guinea pig, but the amount of healthcare for all of a state's citizens would put some states in debt. keep health insurance federal, but allow states to try out different healthcare systems using federal funds"
519,0,21.15 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","require brain scans and other mental health indicators after a certain age, just like colon checks and women's health checks"
398,0,21.64 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",use a state as a guinea pig for an affordable healthcare system and see how well (or not so well) it works
1614,0,18.64 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",I feel that single mothers with children should automatically have healthcare. My sister just had a child and she was on Medicare and as soon as my niece was born she was off the insurance.
394,0,18.01 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",have school make it mandatory to get vaccinations or flu shots to keep the school sanitary
522,0,20.31 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",make calls to members and sometimes this will persuade them to come back to the gym by playing off of their insecurities
1502,0,19.77 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","There are already programs at the major pharmacies for returning non-used Rx because of the negative environmental impact to the water supply.  Obviously, there needs to be more/better publicity for these services.  Possibly a small incentive like discounts or coupons would get more ppl to participate"
391,0,19.5 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",reduce the price of condoms
401,0,18.97 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","allow the government to provide healthcare, no matter the person's condition, ethnicity, education, employment, etc."
388,0,24.11 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","legalize marijuana, tax marijuana, use the revenue towards healthcare and also use the marijuana as a cheap medicine."
1533,0,26.74 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","A global healthcare network should be established to help for example foreigners during vacation in other countries. In addition, all healthcare documents on earth should be written in the same language and should be in the same form."
1537,0,22.99 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",I couldn't agree more but the root of the problem to this whole discussion is money. its not possible to get everyone the perfect healthcare plan.
1567,0,23.23 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","why should we buy into this new healthcare system if congress is not? Obama was asked the question ""will you and your family adopt this new healthcare plan""? He danced around the question and did not answer. Other members of congress were asked the same question and they said they will ""think about it"""
1562,0,19.85 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",The euro crisis is something completely different. This is a financial politcal part where Greece cheated and destroyed everthing with the corruption.
1559,0,40.09 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","Less government short of Anarchy is what our goal should be here. Understandably there should be standards set, education of physicians and medical personnel, medications, so on and so forth. But to the point in which the government wants to compete, and directly effect the healthcare system? This is where it has gone to far. Forcing every American to buy insurance, lying by saying that the penalties of not doing so is a tax. You can read the health care plan after it is passed???? This is terrifying, that the average American will stand for this, and reelect the same individuals responsible, and their excuse, "" Well at least they are trying"". 40% of americans are on some form of government assistance, and the president keeps saying that things are getting better, and more and more americans are out of work, many illegals receive free healthcare, while not paying taxes. Many americans receive benefits while sitting on their -----, and not contributing in their lifetimes while everyone else has to. As said by a famous scholar, every democracy will die, once its people realize that they can elect themselves benefits, or as we may know it ""freebees"". There should be no discussion past regulations."
1558,0,24.6 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","I concur, screenings for anyone who is coming into our nation from foreign zones, or places which do not have the same standards of healthcare as our own. This may seem unfair, but we cannot have our own get sick and die because someone was mad that they had to go through additional screenings before entering. Coming over into the US is not a right, but a privilege unless you are a US citizen. We owe nothing to anyone else, and likewise for others owing anything to us."
1555,0,23.59 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","Healthcare should do a better job at foreign health screenings, there are diseases and parasites that used to be extinct in this country that have come back with full force.  For example, tuberculosis was essentially wiped out but has some how become a threat in the U.S. again."
1551,0,19.89 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","I honestly believe there is no good answer to this healthcare problem. The way this looks is, no matter what someone has to pay the price for someone else to be healthy or not sick. There doesn't seem to be a good solution."
470,0,24.33 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Divert funds to states and let states decide how health care should be administrated
416,0,21.03 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","see what works and what doesn't using a guinea pig type of experimentation although some countries, in culture and in economics, are much different than the United States. possibly see how well a type of policy works in a country similar to ours"
472,0,20.0 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Provide more ER's in low income regions for better convenience
430,0,20.24 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Create state health care programs rather than a national one
1576,0,26.31 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","This showed the hypocrisy of our current system, do as I say not as i do. This double standard is wrong, that certain individuals because of status can opt out of a mandatory program, while others are forced to stay in, or are fined for not doing so. Why not make everyone participate, it is only fair."
1577,0,25.52 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","they are to an extent, but I agree, a separate government program should be in place to take care of such matters. Like welfare for example, it is there for those who need it to use, but is optional, this is the system we should have in place, and we do, Medicaid and Medicare."
478,0,18.65 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Eliminate non-important expenditures and direct them towards health care
484,0,19.4 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Increase the fund for technology in preventive medicine to fight future outbreaks and diseses
1544,0,20.77 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","so such as with the elderly, we should cut their benefits since they are deemed no longer useful to society? Or i guess we can have elected death panels with can decide what is or is not necessary. Only leading back to a socialist approach. These should also receive the first attention next to small children."
1542,0,27.78 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","Maybe, English seems to be the universal language for many things such as business, why not healthcare. The only issue that may arise with a universale system is that I would take a strong effort by all nations taking part, and if it goes the way of the E.U., then could crumble down like domino's if one decides to drop, same matter as the current Euro Crisis"
474,0,21.66 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Eliminate Medicaid and create a more stabilized system that works across different types of incomes not just the poor
1621,0,19.87 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Healthcare should be nationalized
534,0,26.03 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","Leave health care policies and restrictions up to each individual state, have government only provide funds to carry out the process, funds determined by the size of population and number of those in need of health care benefits"
1627,0,18.52 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","Free healthcare should be at an adequate level, not there just for looks."
1653,0,21.83 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","medicare taxes and well fare programs should be monitored more strictly, and not alloed for everyone"
1654,0,19.87 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",UNIVERSAL HEALTHCARE
577,0,19.02 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",There should be better identification programs in place there is the ability to differentiate between adult twin medical records.
1657,0,20.61 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",universal healthcare does not degrade a doctors ability
581,0,24.76 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Education programs should more state linked than diverse from state to state.
582,0,20.2 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","This is a class that should teach about all aspects of the healthcare system. From insurance, to not qualifying for insurance and other options, preventative care for long term, health care programs to help for any situation"
583,0,20.24 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",there should be less restriction on income requirements for state provided healthcare
349,0,19.49 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",I think that the field tests should be very practical because we learn by experience and not just by memorizing the books.
339,0,22.4 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Legalizing marijuana is an issue in US which should be taken care of soon. Marijuana is good for medical purpose so if it is legalized then it should be legalized only in hospitals.
337,0,18.87 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Legalize marijuana for medicinal use in the U.S.
1442,0,21.9 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Going to the dentist office can get very pricey just depending on what you need to get done. These dentist should have some of payment plan if you can not pay the total amount. I know when you get braces there are payment plans but even then the total amount that each person pays is not the same. So just depending on the doctor they should regulate payment plans.
1664,0,33.22 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","Now although I don't know as much about the healthcare system as I would like, I can say that I think the main idea for the healthcare system is to help those people who cannot help themselves. This being said, I would suggest that healthcare is more flexible towards those who need it more such as the people who are living in a poor area and cannot always provide for their family. Another good idea that may help the system is to just make more people aware of the actual problems. Take me for example, I would be able to give much better ideas to help benefit this system if I was aware of its outline procedure in more detail. So far all I can tell is that the biggest problem is, who receives what from their healthcare system, so the only idea I can generate would be that you should base an individuals healthcare rewards by the persons' way of living."
333,0,18.45 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",I 100% agree fully with this. One problem at a time. i think we should focus on getting out of debt first.
591,0,19.14 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",price gouging has become a problem with healthcare
596,0,18.79 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",more research needs to happen before  the healthcare system can change
1401,0,21.16 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","i think health care programs and anything related to the government that makes these programs should not make us, the people, personally pay for those programs and instead take it out from our taxes"
1443,0,25.56 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","I completely agree, if the word isnt spread about such programs then their benefit wont be taken. Advertising more programs wouldnt be a bad idea."
576,0,20.56 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","Hospitals should be required by a federal law program to have up to date check in, check out, and on going care technology."
1651,0,27.62 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","I agree, we know what needs to be done, but getting there needs to be solved. The best way to get the money is to cut back on government security and defense funds by solving national relationship issues, and inputting this difference into the healthcare system to increase medicaid and medicare availability."
352,0,20.25 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","We are way to involved in foreign affairs. Like hurricane Katrina, the first people to actually show up and help were Canadian officers and Cubans I believe, where were the American federals? Something doesnt seem right there."
1628,0,18.79 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","WELL cuba is actually the worlds leading healthcare, so not just any country."
538,0,21.46 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Divert some taxes into developing a better health care system for cities and counties
539,0,21.07 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",Our health care system must provide coverage to all people. It currently lacks the ability to do so.
1486,0,21.83 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","we need a comprehensive basic plan to cover preventative care for everyone to improve general health & well being.  early diagnosis saves money spent on more costly procedures, good dental hygiene prevents many health problems and having more face time with patients to reinforce things like the benefits of exercise and nutrition as well as the harm of being overweight & smoking would reduce later costs to the system"
1629,0,22.79 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","If the government made one small change to general finances, a ripple effect could be made. For instance, if the government decided to put more money towards education, more students would arise with affordable college tuition. With more students, there's a higher chance of healthcare staff. Increase in hospital staff, increase in patient health and care production. Great production, then increase in hospital income, and finally prices on machines would be more affordable and cut backs would be made on health insurance for patients."
1484,0,21.46 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit","I agree, a payment plan is always a good idea and should be allowed to all clients that meet certain requirements though."
1481,0,22.4 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",I agree many individuals get the medications and dont even use them or all of it. Returning the drug to the pharmacies is a good idea because most clients end up throwing their medications away or selling it.
1632,0,18.17 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",encouraging and rewarding college student volunteering is a good idea. It could make the system more efficient without putting in extra costs.
1477,0,23.05 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",I would also like to build on for mental disabilities.Some or most facilities such as doctors offices or dentist offices may not have the coverage plan that the patient has. They should make an exception to them since they do have a disability and may not afford since they have other expenses to attend to.
369,0,17.95 %,"healthcare, system, government, good, provide, agree, price, program, tax, benefit",have better healthcare providers
