Line_Number,Dominant_Topic_Number,Percentage_Contribution,Keywords_In_Dominant_Topic,Sentences
2,0,73.28 %,"health, care, people, service, healthcare, doctor, patient, insurance, specialist, make","Every health insurance in America should provide 2 to 3 free clinical check ups for a family of 3 or more, and 1 to 2 for single households."
32,0,158.22 %,"health, care, people, service, healthcare, doctor, patient, insurance, specialist, make",I think that every hospital or clinic should offer health care because people can't always get to the specific provider they have listed in their insurance. They could also need serious medical attention and not be able to get it at an affordable price.
31,0,93.91 %,"health, care, people, service, healthcare, doctor, patient, insurance, specialist, make","I agree, because doing so would make the system more efficient without sending people away who actually need it. Also, you could get a better tab on how much of the substance is being used, and the doctor can tell if the patient is abusing the substance or not."
19,0,46.75 %,"health, care, people, service, healthcare, doctor, patient, insurance, specialist, make",There should be a universal healthcare system. Insurance companies are a big problem today
30,2,99.0 %,"drug, prescribe, doctor, physician, patient, money, monitor, case, emergency, care","I think that emergency room visits should be free, if the emergency is one of actual concern. Not an ""emergency"" involving a headache or stomach problems that could be solved with over the counter medication, but rather emergencies involving deep cuts or severe infections."
27,2,3.43 %,"drug, prescribe, doctor, physician, patient, money, monitor, case, emergency, care",I agree because it is ultimately up to the woman to decide for herself whether or not to have the baby and the risks that go along with it.
25,2,110.04 %,"drug, prescribe, doctor, physician, patient, money, monitor, case, emergency, care","True, because sometimes money for drugs could result in substance abuse for certain cases."
23,2,251.48 %,"drug, prescribe, doctor, physician, patient, money, monitor, case, emergency, care",Physicians should pay attention more to figuring out the cause of a particular problem rather than prescribing drugs to alleviate symptoms--more money gone to drugs and illness not cured
39,2,108.96 %,"drug, prescribe, doctor, physician, patient, money, monitor, case, emergency, care",This would reduce the cost of the prescribed drug then people would be able to afford it as well as have the oppurtunity to actually buy the medication that they need to take on a regular basis.
40,2,134.53 %,"drug, prescribe, doctor, physician, patient, money, monitor, case, emergency, care",More clinics similar to Care-Now should be open but they should have family medicine doctors there so that misdiagnosing will be less likely to occur and the prescribing of drugs will be less likely to happen
41,2,448.58 %,"drug, prescribe, doctor, physician, patient, money, monitor, case, emergency, care",Physicians should be monitored on what and how much they are prescribing to their patients because this may crack down on them getting certain drugs for promotional purposes and receiving things from the drug companies that they would normally not get if they were not prescribing these drugs. It is all about the money in these cases so some doctors really are not considered with their patients health.
35,2,78.8 %,"drug, prescribe, doctor, physician, patient, money, monitor, case, emergency, care","True, so they won't be wasting money on false diagnoses. This would also make the system more reliable to the public, knowing that doctors have to stay current with the diseases and their symptoms."
44,2,91.82 %,"drug, prescribe, doctor, physician, patient, money, monitor, case, emergency, care","HIV/AIDS patients should get coupons on their medications and also have an affordable specialized doctor to visit for regular check-ups. Also, they can be used for the process of trying to find a cure for the disease."
13,2,20.07 %,"drug, prescribe, doctor, physician, patient, money, monitor, case, emergency, care",Nursing homes should be covered by Medicare since some elderly do not have family that can afford it but need their loved ones to be monitored.
12,2,54.79 %,"drug, prescribe, doctor, physician, patient, money, monitor, case, emergency, care",Emergency room visits should be less expensive. And pharmacies should have a small in and out clinics with reasonable prices for emergencies less severe than hospital attention for anyone with or without insurance.
10,2,99.81 %,"drug, prescribe, doctor, physician, patient, money, monitor, case, emergency, care",All doctors and physicians should have a small pharmacist that will be convenient for the patient to get their prescriptions refilled.
46,2,66.7 %,"drug, prescribe, doctor, physician, patient, money, monitor, case, emergency, care",There should be more pharmacy with a local doctor or physician to conveniently get your medication and check-up at the same time
7,2,308.75 %,"drug, prescribe, doctor, physician, patient, money, monitor, case, emergency, care",When prescribed drugs the doctor should have a bar code to scan so you can get them refilled more conveniently when you want to get the prescription filled at the drug store. This way the pharmacist can monitor what drugs you are getting and how much.
6,2,38.96 %,"drug, prescribe, doctor, physician, patient, money, monitor, case, emergency, care","Medicare/Medicaid should get a ""flex card"" with so much money on it yearly so that will be able to pay for at least their prescriptions."
1,2,0.44 %,"drug, prescribe, doctor, physician, patient, money, monitor, case, emergency, care",with the exception of the elderly and the youth
20,2,81.6 %,"drug, prescribe, doctor, physician, patient, money, monitor, case, emergency, care",Physicians misdiagnosing patients is happening more often. The physicians should be evaluated regulary so it reduces the risk
34,2,37.35 %,"drug, prescribe, doctor, physician, patient, money, monitor, case, emergency, care","Maybe they could also get coupons or cards allowing them to get a discounted visit to the doctor, or see a specialist."
42,4,106.98 %,"people, illness, disease, service, care, healthy, lazy, pay, patient, issue",Less immunizations might help people to actually be able to fight off some of these diseases that they are trying to prevent from coming back since new ones are introduced all the time.
43,4,8.99 %,"people, illness, disease, service, care, healthy, lazy, pay, patient, issue",More studies should go into looking at the patterns and trends of certain outbreaks globally and try to figure out a way to prevent them from continuously spreading.
45,4,99.61 %,"people, illness, disease, service, care, healthy, lazy, pay, patient, issue",More restrictions should be placed on receiving Medicaid so that people who are lazy and really just want to rely on the government for help will be less likely to get it.
0,4,198.3 %,"people, illness, disease, service, care, healthy, lazy, pay, patient, issue",The health care system should finance more money the people who are less healthy and ill or have some sort of disease and not as much to the people who are regularly healthy
29,4,28.56 %,"people, illness, disease, service, care, healthy, lazy, pay, patient, issue","I agree, but I feel that for those unemployed or have no intention of getting a job may have an issue paying it."
26,4,22.27 %,"people, illness, disease, service, care, healthy, lazy, pay, patient, issue",Exactly. Saving both time and money without wasting the resources that the government has supplied.
48,4,281.98 %,"people, illness, disease, service, care, healthy, lazy, pay, patient, issue","Yes, but not all people are like what you say. As I know there are so many people who are very lazy and dependence, but there are also people who get really sick and serious illness that they can not afford by themselves to pay for the medication as well as other health issues"
22,4,66.59 %,"people, illness, disease, service, care, healthy, lazy, pay, patient, issue","Being able to visit specialists with reasonable prices will also help in the long run--illness could improve or caught early before worsens, and less trips to a physician who could possibly not know what is wrong"
21,4,26.91 %,"people, illness, disease, service, care, healthy, lazy, pay, patient, issue",Women clinics should be readily available and more awareness to prevent diseases/cancers
17,4,14.11 %,"people, illness, disease, service, care, healthy, lazy, pay, patient, issue",Birth control should be free so that pregnancies will decrease and Medicaid won't have to provide for that person and the unborn child as well.
16,4,92.67 %,"people, illness, disease, service, care, healthy, lazy, pay, patient, issue",All drugs should have a generic brand offered so people won't have to pay so much for the medicines that they need.
15,4,127.95 %,"people, illness, disease, service, care, healthy, lazy, pay, patient, issue",People with chronic illnesses should seek the medical attention that they need no matter the financial situation.
14,4,97.56 %,"people, illness, disease, service, care, healthy, lazy, pay, patient, issue",The government could pull out all money going into the healthcare system and the country would just have to build itself back up by people helping each other out.
9,4,116.23 %,"people, illness, disease, service, care, healthy, lazy, pay, patient, issue",People with chronic illnesses should have specialists with reasonable prices so physicians can monitor their health more efficiently.
8,4,145.48 %,"people, illness, disease, service, care, healthy, lazy, pay, patient, issue",Physicians should evaluate and give tips to people who say they are having problems with certain issues before just automatically diagnose them with some disease that causes them to have to take medicine that they can become dependent on and start to abuse.
3,4,86.33 %,"people, illness, disease, service, care, healthy, lazy, pay, patient, issue",medicare/medicaid should be equal people of all income but at the same time affordable
33,4,6.64 %,"people, illness, disease, service, care, healthy, lazy, pay, patient, issue","Also, the mentally ill/disabled"
24,4,95.76 %,"people, illness, disease, service, care, healthy, lazy, pay, patient, issue",I think that people who have mental illnesses should be able to see a doctor or specialist at a reasonable cost
