Line_Number	user	fake_username	timeCode	content	reply	contentSimp
18	8a52	Madison Ferguson	March 25, 2013, 03:45:51 PM	Seeing a dietician or a nutritionist should be free at least once a year so maybe that will cut back on visiting the primary doctor so much because natural health is sufficient and they are less likely to get ill.	-1	dietician nutritionist free year cut back visiting primary doctor natural health sufficient ill.
19	36a53	Eugene Evans	March 26, 2013, 12:28:53 PM	There should be a universal healthcare system. Insurance companies are a big problem today	-1	universal healthcare system. insurance companies big problem today
20	36a53	Eugene Evans	March 26, 2013, 12:33:09 PM	Physicians misdiagnosing patients is happening more often. The physicians should be evaluated regulary so it reduces the risk	-1	physicians misdiagnosing patients happening often. physicians evaluated regulary reduces risk
21	36a53	Eugene Evans	March 26, 2013, 12:39:29 PM	Women clinics should be readily available and more awareness to prevent diseases/cancers	17	women clinics readily awareness prevent diseases/cancers
22	36a53	Eugene Evans	March 26, 2013, 12:48:03 PM	Being able to visit specialists with reasonable prices will also help in the long run--illness could improve or caught early before worsens, and less trips to a physician who could possibly not know what is wrong	9	visit specialists reasonable prices long run--illness improve caught early worsens, trips physician possibly wrong
23	36a53	Eugene Evans	March 26, 2013, 12:51:37 PM	Physicians should pay attention more to figuring out the cause of a particular problem rather than prescribing drugs to alleviate symptoms--more money gone to drugs and illness not cured	-1	physicians pay attention figuring problem prescribing drugs alleviate symptoms--more money drugs illness cured
24	80a54	Shirley Smith	March 26, 2013, 01:21:29 PM	I think that people who have mental illnesses should be able to see a doctor or specialist at a reasonable cost	-1	people mental illnesses doctor specialist reasonable cost
25	80a54	Shirley Smith	March 26, 2013, 01:22:24 PM	True, because sometimes money for drugs could result in substance abuse for certain cases.	23	true, money drugs result substance abuse cases.
26	80a54	Shirley Smith	March 26, 2013, 01:23:30 PM	Exactly. Saving both time and money without wasting the resources that the government has supplied.	22	exactly. saving time money wasting resources government supplied.
27	80a54	Shirley Smith	March 26, 2013, 01:25:10 PM	I agree because it is ultimately up to the woman to decide for herself whether or not to have the baby and the risks that go along with it.	21	agree ultimately woman decide baby risks it.
28	80a54	Shirley Smith	March 26, 2013, 01:26:51 PM	Seeing a dietician/nutritionist would also give the person a better picture as to where their health is, and how to improve it, to avoid going to the doctor at all.	-1	dietician/nutritionist give person picture health is, improve it, avoid doctor all.
29	80a54	Shirley Smith	March 26, 2013, 01:28:07 PM	I agree, but I feel that for those unemployed or have no intention of getting a job may have an issue paying it.	3	agree, feel unemployed intention job issue paying it.
30	80a54	Shirley Smith	March 26, 2013, 01:30:45 PM	"I think that emergency room visits should be free, if the emergency is one of actual concern. Not an ""emergency"" involving a headache or stomach problems that could be solved with over the counter medication, but rather emergencies involving deep cuts or severe infections."	-1	"emergency room visits free, emergency actual concern. ""emergency"" involving headache stomach problems solved counter medication, emergencies involving deep cuts severe infections."
31	80a54	Shirley Smith	March 26, 2013, 01:34:39 PM	I agree, because doing so would make the system more efficient without sending people away who actually need it. Also, you could get a better tab on how much of the substance is being used, and the doctor can tell if the patient is abusing the substance or not.	7	agree, make system efficient sending people it. also, tab substance used, doctor patient abusing substance not.
32	80a54	Shirley Smith	March 26, 2013, 01:37:08 PM	I think that every hospital or clinic should offer health care because people can't always get to the specific provider they have listed in their insurance. They could also need serious medical attention and not be able to get it at an affordable price.	-1	hospital clinic offer health care people can't specific provider listed insurance. medical attention affordable price.
33	80a54	Shirley Smith	March 26, 2013, 01:40:17 PM	Also, the mentally ill/disabled	0	also, mentally ill/disabled
34	80a54	Shirley Smith	March 26, 2013, 01:41:54 PM	Maybe they could also get coupons or cards allowing them to get a discounted visit to the doctor, or see a specialist.	-1	coupons cards allowing discounted visit doctor, specialist.
35	80a54	Shirley Smith	March 26, 2013, 01:44:29 PM	True, so they won't be wasting money on false diagnoses. This would also make the system more reliable to the public, knowing that doctors have to stay current with the diseases and their symptoms.	-1	true, won't wasting money false diagnoses. make system reliable public, knowing doctors stay current diseases symptoms.
36	56a55	Daniel Gray	March 28, 2013, 11:47:58 AM	The healthcare system must be changed in some features: The healthcare cost must be reduced as much as it is to help the low income or unemployed people or family to afford. OBAMA Care should be forced to bring the best health care services to everybody regardless their ability to pay for the Hospital bill In the education system, the doctors, specialists, or practitioners should be deep educated and good trained as well to give the best service to the patient and their family and I think this part is Okay. In order to save time and money, medical technology should be given and improve to give the best health care service for patients. For example, like we can use the robots instead of doctors to do an surgery, or using new invented radiology scanner to reduce the radio way, UV ray, ultrasound wave, etc. Everybody should be given the equal health care services as the cost should be low like in Canada, or Australia. Insurance, as in Obama Care that all people must obtain it regardless they never get sick. Although it may affect to the health service, but people will have more option in taking care their health more efficiency. Moreover, the education should teach all the doctors, physicians, specialist, nurses, or any people who work in the healthcare that the patient health is the most important than anything else, instead of taking their insurance or making a fast diagnostic. And I am looking for this aspect because as I see, there is not many doctors, physician, specialists, or nurses pay attention to this particular topic. Medicine should be lowered in price as in the generic medication that everybody can afford to buy though they have insurance or not. And this may help people more taking care for their health. Lastly, maintaining a good health is the best way to make we live better and we don't need to get the healthcare services every time we get sick unless we are getting old and need people to take care.	-1	healthcare system changed features: healthcare cost reduced low income unemployed people family afford. obama care forced bring health care services ability pay hospital bill education system, doctors, specialists, practitioners deep educated good trained give service patient family part okay. order save time money, medical technology improve give health care service patients. example, robots doctors surgery, invented radiology scanner reduce radio way, uv ray, ultrasound wave, etc. equal health care services cost low canada, australia. insurance, obama care people obtain sick. affect health service, people option taking care health efficiency. moreover, education teach doctors, physicians, specialist, nurses, people work healthcare patient health important else, taking insurance making fast diagnostic. aspect see, doctors, physician, specialists, nurses pay attention topic. medicine lowered price generic medication afford buy insurance not. people taking care health. lastly, maintaining good health make live don't healthcare services time sick people care.
37	56a55	Daniel Gray	March 28, 2013, 11:52:09 AM	i agree because the women needs to be treated fairly as men and other aspects like age, gender, sexuality, education, family background, etc.	-1	agree women treated fairly men aspects age, gender, sexuality, education, family background, etc.
38	56a55	Daniel Gray	March 28, 2013, 11:53:34 AM	I think the generic should be get off to let the main one reduce in cost	16	generic main reduce cost
39	8a52	Madison Ferguson	April 01, 2013, 03:09:22 PM	This would reduce the cost of the prescribed drug then people would be able to afford it as well as have the oppurtunity to actually buy the medication that they need to take on a regular basis.	-1	reduce cost prescribed drug people afford oppurtunity buy medication regular basis.
40	8a52	Madison Ferguson	April 01, 2013, 03:11:00 PM	More clinics similar to Care-Now should be open but they should have family medicine doctors there so that misdiagnosing will be less likely to occur and the prescribing of drugs will be less likely to happen	-1	clinics similar care-now open family medicine doctors misdiagnosing occur prescribing drugs happen
41	8a52	Madison Ferguson	April 01, 2013, 03:13:52 PM	Physicians should be monitored on what and how much they are prescribing to their patients because this may crack down on them getting certain drugs for promotional purposes and receiving things from the drug companies that they would normally not get if they were not prescribing these drugs. It is all about the money in these cases so some doctors really are not considered with their patients health.	-1	physicians monitored prescribing patients crack drugs promotional purposes receiving things drug companies prescribing drugs. money cases doctors considered patients health.
42	8a52	Madison Ferguson	April 01, 2013, 03:16:46 PM	Less immunizations might help people to actually be able to fight off some of these diseases that they are trying to prevent from coming back since new ones are introduced all the time.	-1	immunizations people fight diseases prevent coming back introduced time.
43	8a52	Madison Ferguson	April 01, 2013, 03:17:41 PM	More studies should go into looking at the patterns and trends of certain outbreaks globally and try to figure out a way to prevent them from continuously spreading.	-1	studies patterns trends outbreaks globally figure prevent continuously spreading.
44	8a52	Madison Ferguson	April 01, 2013, 03:20:07 PM	HIV/AIDS patients should get coupons on their medications and also have an affordable specialized doctor to visit for regular check-ups. Also, they can be used for the process of trying to find a cure for the disease.	-1	hiv/aids patients coupons medications affordable specialized doctor visit regular check-ups. also, process find cure disease.
45	8a52	Madison Ferguson	April 01, 2013, 03:21:33 PM	More restrictions should be placed on receiving Medicaid so that people who are lazy and really just want to rely on the government for help will be less likely to get it.	-1	restrictions receiving medicaid people lazy rely government it.
46	88a51	Anna Tucker	April 01, 2013, 03:25:04 PM	There should be more pharmacy with a local doctor or physician to conveniently get your medication and check-up at the same time	-1	pharmacy local doctor physician conveniently medication check-up time
47	56a55	Daniel Gray	April 02, 2013, 11:20:30 AM	Another thing, I would like to mention from the previous post, they are: To the Disable people, HIV/AIDS patients, etc. serious diseases, they must to be treated fairly and appropriate to the normal people, or may be better than those because they are even weaker and depress for along time may be the whole life even with mental, physical, or social health. To the LGBT community, they also needs to be treated equally to other people regardless race, age, background, etc. And this is the task of the health care providers who are responsible in providing them the best quality health service. People who is in the Nursing home would be suffered so many problems and can't get away from aging, so they need to have a good care even about mental, physical, and social health treatment to make them enjoy the rest of life. It should be more health care show or programs as many health issue commercials to everyone to make an announcement or warning about any thing related to health like overdosing, street drug, eating habitat, passive life style, unhealthy behaviors,smoking, drinking, STDs, HIV thread, etc. There are now many and many case of rape related in the healthcare system, so it needs to pass a law or some restriction rules to reduce this issue as guaranteed the good working environment to all healthcare employees.	-1	thing, mention previous post, are: disable people, hiv/aids patients, etc. diseases, treated fairly normal people, weaker depress time life mental, physical, social health. lgbt community, treated equally people race, age, background, etc. task health care providers responsible providing quality health service. people nursing home suffered problems can't aging, good care mental, physical, social health treatment make enjoy rest life. health care show programs health issue commercials make announcement warning thing related health overdosing, street drug, eating habitat, passive life style, unhealthy behaviors,smoking, drinking, stds, hiv thread, etc. case rape related healthcare system, pass law restriction rules reduce issue guaranteed good working environment healthcare employees.
48	56a55	Daniel Gray	April 02, 2013, 11:25:30 AM	Yes, but not all people are like what you say. As I know there are so many people who are very lazy and dependence, but there are also people who get really sick and serious illness that they can not afford by themselves to pay for the medication as well as other health issues	-1	yes, people say. people lazy dependence, people sick illness afford pay medication health issues
49	56a55	Daniel Gray	April 02, 2013, 11:26:32 AM	I agree with you, it needs to have more to get the better health service and even though saving time and money.	46	agree you, health service saving time money.
50	80a54	Shirley Smith	April 02, 2013, 12:37:52 PM	I agree. Although healthcare covers most things, these specialized areas shouldn't be neglected, and should also recieve the same ammount of care, if not more, than the amount given in general healthcare.	47	agree. healthcare covers things, specialized areas shouldn't neglected, recieve ammount care, more, amount general healthcare.
51	80a54	Shirley Smith	April 02, 2013, 12:50:35 PM	 	-1	 
52	8a52	Madison Ferguson	April 08, 2013, 01:10:56 PM	Regular check ups on physicians should be required to make sure that they still have morals and values and really do care about the patients rather than they're paychecks.	-1	regular check ups physicians required make morals values care patients they're paychecks.
53	8a52	Madison Ferguson	April 08, 2013, 01:13:21 PM	The new technology would also reduce the amount of time that surgery would or regular everyday visits would take. Also with new things coming out there should be seminars for them to be displayed so that the doctors have a chance of purchasing them.	-1	technology reduce amount time surgery regular everyday visits take. things coming seminars displayed doctors chance purchasing them.
54	8a52	Madison Ferguson	April 08, 2013, 01:16:37 PM	Support groups for people that are chronically ill should be provided by the government so that they have a better chance of thriving in life and not just to know that other people suffer but that they can help each other live a healthier lifestyle to try and relieve some pain and maybe even live longer.	-1	support groups people chronically provided government chance thriving life people suffer live healthier lifestyle relieve pain live longer.
55	8a52	Madison Ferguson	April 08, 2013, 01:18:18 PM	If Medicare/Medicaid would crack down on the system and actually administer to the people who need it then taxes would probably go down because the government would not have to put so much money towards the healthcare system.	-1	medicare/medicaid crack system administer people taxes government put money healthcare system.
56	8a52	Madison Ferguson	April 08, 2013, 01:20:24 PM	Assistant living for the elderly should be more affordable so that the nursing homes will not be so crowded, because some elderly people resort to the nursing home since that is all they're insurance will cover.	-1	assistant living elderly affordable nursing homes crowded, elderly people resort nursing home they're insurance cover.
57	8a52	Madison Ferguson	April 08, 2013, 01:22:57 PM	Maintaining a good healthcare system is the key reason so maybe the government should really evaluate this area more than all the other ones.	-1	maintaining good healthcare system key reason government evaluate area ones.
58	56a55	Daniel Gray	April 09, 2013, 11:19:46 AM	"The budget for the healthcare services is reducing. So it needs to be considered to increase that amount of money. If the citizens are healthy, that means the country is also ""healthy"" too. Some new researches in Health science should be encouraged and granted by the governments or other foundations help the young new scientists to find the new methods and better cures for the patients or even a whole healthcare systems. Working hard will Many people are complaining about the healthcare insurance, not Medicare or Medicaid, so, there has to be some social benefits to qualify for those who are not getting enough financial supports for it. There must be some new hospitals build to server enough for the increasing patients where the old one is insufficient and does not well-qualified for the whole service. Any specialists or nurses who violate the policy or rules must be charged based on the scale of what errors they make during the healthcare services as will be a good model for others to obey and minimize the errors from little to zero."	-1	"budget healthcare services reducing. considered increase amount money. citizens healthy, means country ""healthy"" too. researches health science encouraged granted governments foundations young scientists find methods cures patients healthcare systems. working hard people complaining healthcare insurance, medicare medicaid, so, social benefits qualify financial supports it. hospitals build server increasing patients insufficient well-qualified service. specialists nurses violate policy rules charged based scale errors make healthcare services good model obey minimize errors zero."
59	56a55	Daniel Gray	April 09, 2013, 11:21:24 AM	I agree with you. even there are some people who cheat on this to get the free benefits for them.	-1	agree you. people cheat free benefits them.
60	56a55	Daniel Gray	April 09, 2013, 11:23:18 AM	Healthcare services is such a business where people who are insured will get the best service as they pay for what they receive.	56	healthcare services business people insured service pay receive.
61	56a55	Daniel Gray	April 09, 2013, 11:25:31 AM	That would be great! But people are in the way of busy working life so it needs the quick and fast service to serve as many people as it is and done well!	-1	great! people busy working life quick fast service serve people well!
62	80a54	Shirley Smith	April 09, 2013, 12:08:15 PM	Yes I agree. In doing so, it would also reduce the funds required for those who don't care as much, for funding should only go to those who actually care.	-1	agree. so, reduce funds required don't care much, funding care.
63	80a54	Shirley Smith	April 09, 2013, 12:11:22 PM	This method sounds pretty solid in my opinion. The only problem is that sometimes there are more sick people than anticipated, and there isn't enough healthcare to deal with the amount of sickness that is presented.	-1	method sounds pretty solid opinion. problem sick people anticipated, isn't healthcare deal amount sickness presented.
64	80a54	Shirley Smith	April 09, 2013, 12:18:41 PM	As technology grows more advanced day after day, at some point there is going to be a way to monitor all of those who truly need healthcare. Hopefully people can do all of the necessary things to get the help they need, and get on track to becoming healthier. At this time, there should also be enough medication and staff to deal with those that need healthcare, for without the staff and supplies, healthcare will decrease, and more people will remain sick and die. At the rate technology is evolving, there should already be a system, unfortunately not everyone can be trusted with medication and the help that the staff provides.	-1	technology grows advanced day day, point monitor healthcare. people things need, track healthier. time, medication staff deal healthcare, staff supplies, healthcare decrease, people remain sick die. rate technology evolving, system, trusted medication staff provides.
65	36a53	Eugene Evans	April 09, 2013, 01:37:06 PM	"But it will be very difficult to draw the line of what will fit under ""emergency"" if those visits are free completely. It should probably be at a more reasonable cost instead."	30	"difficult draw line fit ""emergency"" visits free completely. reasonable cost instead."
66	36a53	Eugene Evans	April 09, 2013, 01:45:11 PM	I think medical research is a big factor in providing adequate healthcare. More funding should be available to researchers to find cures for diseases, new techniques for procedures, new drugs, and ways to prevent illnesses.	-1	medical research big factor providing adequate healthcare. funding researchers find cures diseases, techniques procedures, drugs, ways prevent illnesses.
67	36a53	Eugene Evans	April 09, 2013, 01:53:35 PM	"I don't think that having a pharmacy and physician together will really make that much of a difference. there are more important things than making it ""convenient"" for the patient so they don't have to drive to a pharmacy. I'd rather have a more fit physician and pharmacist instead."	46	"don't pharmacy physician make difference. important things making ""convenient"" patient don't drive pharmacy. i'd fit physician pharmacist instead."
68	88a51	Anna Tucker	April 10, 2013, 01:40:37 PM	I agree and the more technology advances the more job opportunities for people without jobs leading to less dependent people on healthcare.	-1	agree technology advances job opportunities people jobs leading dependent people healthcare.
69	88a51	Anna Tucker	April 10, 2013, 01:51:34 PM	I agree on more research towards diseases which is one of the main sources of healthcare because if a cure is discovered then it gives the people who are ill to live healthy lives and get back on their feet.	67	agree research diseases main sources healthcare cure discovered people live healthy lives back feet.
0	22b21	Lacey Lopez	March 29, 2013, 10:27:16 AM	I think the education of healthcare needs to be improved.	-1	education healthcare improved.
1	22b21	Lacey Lopez	March 29, 2013, 10:33:16 AM	Finance is a zsticky situation. I think the cost of healthcare should equally represent the benefits received, so in some ways the cost should be lowered.	-1	finance sticky situation. cost healthcare equally represent benefits received, ways cost lowered.
2	22b21	Lacey Lopez	March 29, 2013, 10:35:12 AM	Emergency room services need to improve. The hours to wait and the services provided are horrible.	-1	emergency room services improve. hours wait services provided horrible.
3	22b21	Lacey Lopez	March 29, 2013, 10:37:13 AM	Money could be a reason why for both. There should be a better investment for healthcare. No money means no pay which makes for a poor satisfaction and poor care to patients, and not enough people to operate the emergency rooms.	2	money reason both. investment healthcare. money means pay makes poor satisfaction poor care patients, people operate emergency rooms.
4	22b21	Lacey Lopez	March 29, 2013, 10:42:00 AM	I don't want to see the healthcare system go away. The healthcare system itself is good, but the providers in charge of it need to be changed. I think if you take a group of people who are on the lower economy scale, dependent on healthcare, and have them either advise or run healthcare then maybe it would be in better standing.	-1	don't healthcare system away. healthcare system good, providers charge changed. group people lower economy scale, dependent healthcare, advise run healthcare standing.
5	22b21	Lacey Lopez	March 29, 2013, 10:46:47 AM	In a touchy subject, healthcare has become too political. It's main focus should be the well being of sick, disabled and retired people. But now it's revolved around budget cuts, and as long as money is flowing around it doesn't matter if a veteran is lying on his deathbed because he doesn't have insurance to help him.	-1	touchy subject, healthcare political. it's main focus sick, disabled retired people. it's revolved budget cuts, long money flowing doesn't matter veteran lying deathbed doesn't insurance him.
6	22b21	Lacey Lopez	March 29, 2013, 10:53:25 AM	What if there was healthcare for a range of income? Or is there already? If there isn't then why not have higher income families pay a portion towards healthcare that they can afford, and then lower income families pay a portion that they can afford. It would be healthcare for all in a sense, but all of us would pay a different amount. A reasonable amount. ? :)	-1	healthcare range income? already? isn't higher income families pay portion healthcare afford, lower income families pay portion afford. healthcare sense, pay amount. reasonable amount. ? :)
7	69b22	Isaiah Luna	March 29, 2013, 11:26:12 AM	I personally believe that healthcare in this country is too expensive and frankly people on a budget do not see it necessary to obtain one. I believe that minor health problems should be free.	-1	personally healthcare country expensive frankly people budget obtain one. minor health problems free.
8	69b22	Isaiah Luna	March 29, 2013, 11:29:03 AM	I have no problem with health insurance, however, I find that people pay unnecessarily for services that they do not need. Meanwhile those who need it cannot afford to pay for health care.	-1	problem health insurance, however, find people pay unnecessarily services need. afford pay health care.
9	69b22	Isaiah Luna	March 29, 2013, 11:31:32 AM	I find that health insurance only covers very little health concerns. Good health is not a guarantee so there should be others ways that people pay for health services.	-1	find health insurance covers health concerns. good health guarantee ways people pay health services.
10	69b22	Isaiah Luna	March 29, 2013, 11:34:18 AM	I don't necessarily think that lack of health care education is a problem I think people who are uninformed remain that way because they cannot afford it.	0	don't necessarily lack health care education problem people uninformed remain afford it.
11	69b22	Isaiah Luna	March 29, 2013, 11:38:05 AM	There should be a clear distinction between providing healthcare to make a profit and healthcare for the less fortunate	-1	clear distinction providing healthcare make profit healthcare fortunate
12	69b22	Isaiah Luna	March 29, 2013, 11:49:22 AM	i do not have much knowledge on the health care procedures, i believe that every employer should provide health care for their employees and families. Anyone who is not willing to work should buy health insurance independently and people who are disabled or old should be either on medicare or medicaid.	-1	knowledge health care procedures, employer provide health care employees families. work buy health insurance independently people disabled medicare medicaid.
13	69b22	Isaiah Luna	March 29, 2013, 11:53:03 AM	American people should not be responsible to pay for services that they do not require	11	american people responsible pay services require
14	49b23	Brandon Roth	March 29, 2013, 12:20:06 PM	I agree that the education about the health care system should be improved. I don't think it's a problem because people remain that way because they can't afford it. Yes, some people may choose not to learn more about it, but that's cause they might not feel the need to and that's why they feel less informed when asked about changes/improvements to the healthcare system. For example, young adults who are covered for healthcare by their parent's employers don't feel the need to learn about health care because they don't have to pay for it and it's not a concern for them.	10	agree education health care system improved. don't it's problem people remain can't afford it. yes, people choose learn it, that's feel that's feel informed asked changes/improvements healthcare system. example, young adults covered healthcare parent's employers don't feel learn health care don't pay it's concern them.
15	49b23	Brandon Roth	March 29, 2013, 12:23:05 PM	I don't have much knowledge on healthcare or the financing, but this idea seems fair.	1	don't knowledge healthcare financing, idea fair.
16	49b23	Brandon Roth	March 29, 2013, 12:25:45 PM	What are the problems with healthcare in America?	-1	problems healthcare america?
17	49b23	Brandon Roth	March 29, 2013, 12:32:42 PM	We can look at what other countries are doing and how they are doing it. And while this isn't specifically healthcare-related, we could put more focus on national happiness.	-1	countries it. isn't specifically healthcare-related, put focus national happiness.
18	92b24	Joshua Molina	March 29, 2013, 01:18:43 PM	"emergency rooms are for ""emergencies.""  a lot of times people go to them because they don't have a pcp, don't have the money for said pcp...so going to the emergency with a minor problem causes backups and long waits for people with more serious emergencies...so we could make pcps more accessible to everyone on all types of income"	3	"emergency rooms ""emergencies.""  lot times people don't pcp, don't money pcp...so emergency minor problem backups long waits people emergencies...so make pcps accessible types income"
19	92b24	Joshua Molina	March 29, 2013, 01:21:35 PM	"maybe educating the ""youth"" about healthcare or healthy habits will get them interested and start wanting to learn more...or at the least, make them aware of how to live ""healthy"" so that they'll be less likely to be obese, reckless, etc."	14	"educating ""youth"" healthcare healthy habits interested start wanting learn more...or least, make aware live ""healthy"" they'll obese, reckless, etc."
20	92b24	Joshua Molina	March 29, 2013, 01:26:32 PM	"i think that most health care professionals try to focus on the sick, disabled, and retired people, but because many people don't have insurances or enough insurance, when they use medical services, those services aren't paid for.  Since they aren't paid for then the drs' nurses' medical profs. have to be mindful of money and services.  ideally money would have no part of receiving medical aide/help, but in reality, someone has to pay for services.  if no one pays, then services are less ""good"" or non-existent"	-1	"health care professionals focus sick, disabled, retired people, people don't insurances insurance, medical services, services aren't paid for.  aren't paid drs' nurses' medical profs. mindful money services.  ideally money part receiving medical aide/help, reality, pay services.  pays, services ""good"" non-existent"
21	92b24	Joshua Molina	March 29, 2013, 01:33:34 PM	"i dont think that a different outlook or perspective will change health care that much if any.  someone who has less of an income than one who is overly wealthy are still both logical thinking people.  what it comes down to is that healthcare profs. have budgets.  users of health care services have bills.  if bills are paid, then budgets stay the same or increase.  if bills aren't paid, then budgets are lowered.  when budgets are lowered then so are services, treatment quality, staff...it's all connected and eventually plummets because hospitals/healthcare has to pay to people to work. if they can't pay because ""users"" dont pay their bills, then everything goes to crap....make people pay their bills, (either hold them personally reliable if no insurance, hold the insurance if they have it or make people HAVE insurance so that somewhere, someone can get paid and continue to work.  "	-1	"outlook perspective change health care any.  income overly wealthy logical thinking people.  healthcare profs. budgets.  users health care services bills.  bills paid, budgets stay increase.  bills aren't paid, budgets lowered.  budgets lowered services, treatment quality, staff...it's connected eventually plummets hospitals/healthcare pay people work. can't pay ""users"" pay bills, crap....make people pay bills, (either hold personally reliable insurance, hold insurance make people insurance somewhere, paid continue work.  "
22	92b24	Joshua Molina	March 29, 2013, 01:41:38 PM	i dont think that when you insurance that you are paying for services that you wont use.  just like car insur. you buy it because if ever you need it, it will be there.  you are paying for reassurance/stability/future help; not for something you wont need or ever use.  same with healthcare and insurance.  every should PAY SOMETHING just to be prepared.  make a separate item/deduction/tax on our paychecks so that we pay a little more to be safe.  and for people who can't afford to pay/dont work because sick/old/disabled, then either put into place more restrictions/people to monitor EFFECTIVELY there status for not working by way of sick/old/disabled to make sure that if anything changes, i.e. they become able-bodied, then the get to work to help out the others/pay it forward..	13	insurance paying services use.  car insur. buy it, there.  paying reassurance/stability/future help; use.  healthcare insurance.  pay prepared.  make separate item/deduction/tax paychecks pay safe.  people can't afford pay/dont work sick/old/disabled, put place restrictions/people monitor effectively status working sick/old/disabled make changes, i.e. able-bodied, work others/pay forward..
23	92b24	Joshua Molina	March 29, 2013, 01:44:18 PM	i dont think that another country's plan will necessarily work for the U.S.  every country is different; maybe they start their youlth/middle aged/elderly off on different tracks/have different ideologies that are DIFFERENT from the U.S.;  find what works here then do it.  and if that means trying out a dozen different things before we get that lucky 13th, then thats what we should do. 	-1	country's plan necessarily work u.s.  country different; start youlth/middle aged/elderly tracks/have ideologies u.s.;  find works it.  means dozen things lucky 13th, do. 
24	92b24	Joshua Molina	March 29, 2013, 01:46:15 PM	"take out health care altogether and only have independent drs.  then let people use ""private pay"" to do what they need to.  if some can't afford it, then they can't afford it.."	-1	"health care altogether independent drs.  people ""private pay"" to.  can't afford it, can't afford it.."
