Line_Number,Dominant_Topic_Number,Sentences,Keywords_In_Dominant_Topic
1344,0,"Capture the ball: two teams of 5; each team will have their own ball located on the opposing team's side of the arena/ court/ field. The objective of the sport is to capture the ball and return it safely to the team's side. Tackle and reasonable contact are permissible. Each team member will wear a flag around his/her waist, if the flag is removed by a member of the opposing team, that player is out of the game and another one will replace him/her. Game will continue until a team returns the ball safely to their side.","point, must, field, flag, end, oppose, target, place, different, new"
1079,0,"With two buckets of water, one at the starting point and one at the end point, try to transfer the water from starting to point to end point using the sponge provided","point, must, field, flag, end, oppose, target, place, different, new"
1078,0,"With two buckets of water, one at the starting point and one at the end point, try to transfer the water from starting to point to end point using just your hands","point, must, field, flag, end, oppose, target, place, different, new"
1211,0,"maybe the basket worth the most points could be harder to make, i.e. a smaller hoop or a higher goal","point, must, field, flag, end, oppose, target, place, different, new"
925,0,Dodge-ball/Capture the Flag,"point, must, field, flag, end, oppose, target, place, different, new"
749,0,zip line racing while collecting bananas and throwing them at the other competitors for extra points.,"point, must, field, flag, end, oppose, target, place, different, new"
3043,0,Flags that will be worn around each person's waist and the opposing team members must grab their opponent's flag while in the middle of a game of...,"point, must, field, flag, end, oppose, target, place, different, new"
2995,0,['Category 2 - Striking only until knockout or end of round'],"point, must, field, flag, end, oppose, target, place, different, new"
644,0,"e.g. capture the flag would work, but as soon as someone has the flag they can no longer be 'warped', or cannot be warped inside certain areas such as the opposing base.","point, must, field, flag, end, oppose, target, place, different, new"
1214,0,"The three hoop idea combined with a zero gravity environment sounds exciting. With each hoop representing different point values, each hoop could decrease in size the higher the point value it is.","point, must, field, flag, end, oppose, target, place, different, new"
643,0,"A sport with two teams. There is a ground force, playing paintball in a wooded area or some other field. On each team there is a 'general', whose gun has such qualities that when they tag a member of their own team with it, the place the next bullet hits is where that person will be 'warped' to instantly. The general also has a bird's eye view of the field, allowing them to place members strategically so as to achieve the objective.","point, must, field, flag, end, oppose, target, place, different, new"
1207,0,This would be pretty neat. Limiting archery competitors to a certain amount of time per shot would definitely cause some mental differences as opposed to them having unlimited time. If shooters were only given 5 seconds for each shot at a target it would affect them. The pressure would increase. Fast paced archery you would have to give each shooter 5 seconds max for each target. Count starts once the arrow is pulled back on the bow. Points will be labeled on targets to tally up score. Highest score wins. If a target is not hit a score of 0 will be given for that target. A tie breaker will result in a long distance shot.,"point, must, field, flag, end, oppose, target, place, different, new"
2373,0,"Teams with two people each. One player shoots at targets with a potato launcher. The targets are tennis racquets. The outcome should be french fries. The second team member has a basket to catch the fries. Team with the most fries in weight wins. Teams start opposite of the playing field. There are 11 targets and after each target is hit, it will retract. The game ends when all of the racquets have retracted.","point, must, field, flag, end, oppose, target, place, different, new"
2489,0,"-the ""targets"" will be placed in a secret location, based on where the team decides to place it.","point, must, field, flag, end, oppose, target, place, different, new"
2519,0,"['Location: Depends on what difficulty level. Can be small, medium, or large -size swimming pool']","point, must, field, flag, end, oppose, target, place, different, new"
625,0,5 people. Contestants ice skate through a long slalom course. After a certain distance there is a rack of 5 different colored balls and 4 hoops. Contestants must grab their ball off the rack and place it in the hoop. The last to do so ( the hoops only hold one ball) is eliminated. The course continues until all but one is eliminated: the winner. Course could also narrow or have steep drops so as to allow for more competitive racing.,"point, must, field, flag, end, oppose, target, place, different, new"
141,0,They race from the starting point to the end point and then return to the starting point.,"point, must, field, flag, end, oppose, target, place, different, new"
2867,0,['wrestle continues until one knocks the other over or someone runs out of breathe and must come up'],"point, must, field, flag, end, oppose, target, place, different, new"
142,0,"The first to reach the end point and then return to the starting point still in the emptied bag, wins the reace.","point, must, field, flag, end, oppose, target, place, different, new"
1894,0,"This idea is a spoof off of Qudditch from Harry Potter.  Players would split up into teams and be given hang-gliders.  The players would be skilled hang-gliders that are experts in controlling the airborne vehicle.  Players would then be give sticks similar to lacrosse sticks.  Then the ball would have some sort of anti-gravity mechanism that can keep it at a certain level unless a player makes contact with it.  If the player scoops the ball up and throws it, it will fly.  If the player thrusts it down that it will fall down.  But gravity will be minimized by the mechanical ball. The purpose of the game will be to get the ball through a circular goal at a certain dimensional height in the sky.  By using their sticks, hang gliders, and teammates, players will work towards advancing the ball into the goal.  players will start off at a high peak or maybe even off of a plane to where they will then hang glide down and race to the ball where it will be placed in a neutral location for both teams to retrieve.  Then once a team recovers the ball, game on.","point, must, field, flag, end, oppose, target, place, different, new"
3030,0,hang onto something like a rope (hanging down OR held in place by other objects at each end),"point, must, field, flag, end, oppose, target, place, different, new"
2529,0,you jump through the hoops higher and higher.,"point, must, field, flag, end, oppose, target, place, different, new"
2819,0,"% OK so you mentioned having a obstacle course in the field, I think that sounds like fun and it definatley requires a lot of body movement. So some of the obstacle course could be like the field being a little steeper and having different those things you use in track to jump over. Anyways my point is not to go to crazy on the obstacle field ,like wipe out etc.","point, must, field, flag, end, oppose, target, place, different, new"
325,0,If a person misses a basket then points could be deducted from their score,"point, must, field, flag, end, oppose, target, place, different, new"
1191,0,"Two rock climbing walls set up across from each other with a team of 2 back to back. They are hooked together with not much slack, so they have to climb up their own walls while keeping in sync with their other teammate. Both have to start over if one of the members falls off his/her wall.","point, must, field, flag, end, oppose, target, place, different, new"
893,0,"version of capture the flag where a teammate picked randomly from both teams is held ""captive"" and that and each team has to retrieve their teammate. in essence the person is the flag","point, must, field, flag, end, oppose, target, place, different, new"
324,0,Each hoop could be at different height levels to help determine the amount of points,"point, must, field, flag, end, oppose, target, place, different, new"
1889,0,Perhaps the target could be of a larger size than usual. Players could also score points on consistency.,"point, must, field, flag, end, oppose, target, place, different, new"
1932,0,Activity 2: Activity where a group of people versus another group of people use a climbing wall to gather as many flags as they can on the climbing wall.,"point, must, field, flag, end, oppose, target, place, different, new"
2484,0,*=-they should be appointed more points for doing a trick on the ice arena.,"point, must, field, flag, end, oppose, target, place, different, new"
1884,0,There are obstacles in the course that teams must avoid and can be deducted time for manipulating the objects.,"point, must, field, flag, end, oppose, target, place, different, new"
2554,0,Also you can change the location to either an open field or woods or even a paint ball field filled with obstacle course. each team will start at different ends of the arena.,"point, must, field, flag, end, oppose, target, place, different, new"
922,0,Snowball fortress Capture the Flag,"point, must, field, flag, end, oppose, target, place, different, new"
2558,0,"What if there were levels? Like the topics would become harder and harder, and the choice of letters woudl be more narrow and difficult. And would you replace the letter after you drew it, or is that a part of the game, to name words on different subjects till the letters run out?","point, must, field, flag, end, oppose, target, place, different, new"
1873,0,"Weight wall climbing: The athlete must go up and down the wall, picking up weights at the base and bringing them to the top of the wall. the most weights brought to the top of the wall in a certain time period wins","point, must, field, flag, end, oppose, target, place, different, new"
1259,0,juggling fruits of all sizes and shapes,"point, must, field, flag, end, oppose, target, place, different, new"
2996,0,['Category 3 - Standard UFC rules until knockout or end of round'],"point, must, field, flag, end, oppose, target, place, different, new"
1779,0,If it does happen to land in the water then the opposing team receives the point.,"point, must, field, flag, end, oppose, target, place, different, new"
1778,0,a course that combines the water and mud cycling ideas.,"point, must, field, flag, end, oppose, target, place, different, new"
2391,0,two teams of two battle on a slick muddy obstacle course. one team must finish the obstacle course while dodging paintballs from the other team 5 hits and the contestant is out.,"point, must, field, flag, end, oppose, target, place, different, new"
928,0,**=- Hang-glide jousting,"point, must, field, flag, end, oppose, target, place, different, new"
1355,0,['They only receive the point if they answer it correctly.'],"point, must, field, flag, end, oppose, target, place, different, new"
30,0,"The pins can be higher than ground level so you're not just trying to hit the ball at the floor. There can be pins together or spread out so you can get points by hitting different pins like targets. The ball can be thrown by a pitcher on the different team or just tossed by someone on the same team so that targeting isn't impossible. Like in baseball, you have three chances to hit at least one pin. If you miss all the pins three times, you're out.","point, must, field, flag, end, oppose, target, place, different, new"
29,0,"the obstacle type courses should be familiar with the army type of obstacles such as monkey bars over mud, climbing over high walls. When trying to retrieve the ball from the opposite side you can tackle that person and start using wrestle techniques on trying to receive the ball but only if it is one on one. If this were to happened there would be a new time limit on the clock say 1 minute 30 seconds for those two people who are wrestling. if the time goes up and the same person has the ball that person get a two minute head start kind of as an reward that they still have the ball. after the two minute head start is up the regular time limit starts again to finish the obstacle course","point, must, field, flag, end, oppose, target, place, different, new"
28,0,instead of wrestling you can add hoops to each end but using the same wrestling technique when trying to retrieve the ball.,"point, must, field, flag, end, oppose, target, place, different, new"
2356,0,"[""As for the playing field, something different would be a non-rectangular field. Usually in sports, the goals are located on opposite ends of a large rectangle. It's more simple to deal with, but having a different field could add a new perspective to the game.""]","point, must, field, flag, end, oppose, target, place, different, new"
437,0,['A group of players are given schematics of a building and told that a high-value target inside the building must be extracted/terminated.'],"point, must, field, flag, end, oppose, target, place, different, new"
3115,0,"hang-gliding (judged on finesse, beauty and height)","point, must, field, flag, end, oppose, target, place, different, new"
2137,0,motorcycle-like vehicle must seek out different checkpoints throughout obstacle course for points,"point, must, field, flag, end, oppose, target, place, different, new"
1657,0,"rock tossing without removing your feet on the ground. the further you can toss, the more points you get","point, must, field, flag, end, oppose, target, place, different, new"
2145,0,"Individuals wear a flying suit rigged to drop a marker from the chest. They jump from a height and glide to a target and drop the marker to attempt to hit the target. After this, they must deploy a parachute and land on another target. There can be different courses to glide on.","point, must, field, flag, end, oppose, target, place, different, new"
298,0,A game like basketball but with more than one hoop; and each hoop is worth a different amount of points.,"point, must, field, flag, end, oppose, target, place, different, new"
987,0,"If the gunner is shot, his gun will automatically turn off. If the driver is shot, then the jet-ski will automatically shut down.","point, must, field, flag, end, oppose, target, place, different, new"
2149,0,"The narrower rings, which are more difficult to pass through, are designated with high points. The smaller the ring the more points it will have. Red rings are the danger rings. Avoid these rings to avoid deduction of points.","point, must, field, flag, end, oppose, target, place, different, new"
2714,0,"Instead of the octagonal ring, there could be an expansive arena with platforms of various heights. The whole arena will have padding and the flooring would be virtually safe to protect from big fall damage.","point, must, field, flag, end, oppose, target, place, different, new"
2768,0,"Have one small target all the way out at the farthest point of the baseball field, and roughly 20 feet in the air. The target should be a circle with a diameter of four feet. If a team is able to hit this then they automatically win the game.","point, must, field, flag, end, oppose, target, place, different, new"
2767,0,"The table could also have small little targets, roughly half of the size of the ping pong ball. If a player hits certain targets then they automatically win the point, if they hit other targets then the player loses the point.","point, must, field, flag, end, oppose, target, place, different, new"
2358,0,skydiving and gliding through rings for points,"point, must, field, flag, end, oppose, target, place, different, new"
985,0,"Probably a bad idea, but MMA fighting in an underwater arena. Obviously breathing will be an issue. Otherwise, this could just be normal MMA except in a place with walls, places to climb, etc.","point, must, field, flag, end, oppose, target, place, different, new"
1639,0,create as many tournaments as we can to bring the new sports to the community.,"point, must, field, flag, end, oppose, target, place, different, new"
721,0,those extra points will all be added at the end of the game. determined who won by stevie wonder,"point, must, field, flag, end, oppose, target, place, different, new"
2937,0,['Playing Field: 100 Yard Grass field with goal lines at the end of each side.'],"point, must, field, flag, end, oppose, target, place, different, new"
2424,0,I think that the paintballers must be on a wall lateral to the central obstacle course. The paintball guns are equipped with a sniper scope. I also would put cover for the teams running from the paintballs because they will need rest during the course.,"point, must, field, flag, end, oppose, target, place, different, new"
219,0,"capture the flag dodge ball. This would be played in an open field with 2 flags at opposing bases. there are 2 different colored sets of balls belonging to respective teams that only those teams can use. you try and grabbing the other teams flag without being hit by a ball and if you are hit than you must return to your base and ""reset"" yourself.","point, must, field, flag, end, oppose, target, place, different, new"
2363,0,you must throw a disc and it has to curve around a pole and hit a target behind it. there are different courses but it is like golf in a sense,"point, must, field, flag, end, oppose, target, place, different, new"
1522,0,You be blind folded and have to crawl through a series of hoola hoops held in place.,"point, must, field, flag, end, oppose, target, place, different, new"
2933,0,Tossing a flag onto a moving target.,"point, must, field, flag, end, oppose, target, place, different, new"
967,0,In addition to this tie an uncooked egg to the torso of the participants and have their end goal to be crushing their opponents egg.,"point, must, field, flag, end, oppose, target, place, different, new"
2366,0,"each ring should have its own color, different color contain different point and the easiness level might increase or decrease depend on the color.  There are 5 colors: black= biggest and with 1 point>yellow= 2 points>blue=3 points>green=4 points> red=5 points. So this means even if they collect the most rings doesnt mean that they are the winner, it must depend on the color of the ring.","point, must, field, flag, end, oppose, target, place, different, new"
2880,0,The field that the teams will play on is going to be a fairly large circle with a triangle inside of it. This will be a circular pool with rods that form the triangle. Each point of the triangle will touch 3 parts of the circle. The section from a triangles point to its other point can be a resting spot or out of bounds section. Each point of the triangle is a teams territory and where they need to go to score.,"point, must, field, flag, end, oppose, target, place, different, new"
802,0,Wall ball but instead of sharing one wall you try to hit an opponents wall. Teams of 3,"point, must, field, flag, end, oppose, target, place, different, new"
2953,0,"There could also be a secret material that is revealed at the beginning of a contest, with rules stating that the team must create a whole wardrobe, (i.e. hats, shirts, ties, pants, etc.) with each clothing item containing that secret material. Each new match will have a new secret material.","point, must, field, flag, end, oppose, target, place, different, new"
898,0,"2 teams of five enclosed in an arena the size of an NFL Dome Stadium. Each person has a hang glider and their paintball equipment. Each teams start together up high in the rafters, and start to glide at the start of the match.","point, must, field, flag, end, oppose, target, place, different, new"
2783,0,Red balloons are worth one point,"point, must, field, flag, end, oppose, target, place, different, new"
58,0,"['have one key player on each team that has to do something specific, like a quarterback or kicker in football.']","point, must, field, flag, end, oppose, target, place, different, new"
1050,0,['1. Each player will receive an identical go-cart with buttons to enable their power up or special.'],"point, must, field, flag, end, oppose, target, place, different, new"
819,0,"Referees can decree ""JAIL BREAK"" once per game at any given moment, and all frozen players may return to their square without being rescued. NOTE: they MUST return to their square before trying to capture another team's ball.","point, must, field, flag, end, oppose, target, place, different, new"
698,0,.... try to fight off harry potter and ronald weisly to win the magical wond of tallness,"point, must, field, flag, end, oppose, target, place, different, new"
2455,0,point system for targets,"point, must, field, flag, end, oppose, target, place, different, new"
1673,0,"one big arena, similar to a football or basketball arena with 4 or 5 competitors at once.","point, must, field, flag, end, oppose, target, place, different, new"
2096,0,Combination of paintball and capture the flag. More stealthy sport where the object is to obtain the other teams flag but do not get shot otherwise you must return your teams starting spot. Must be done with only with night vision.,"point, must, field, flag, end, oppose, target, place, different, new"
2785,0,Purple balloons are worth three points.,"point, must, field, flag, end, oppose, target, place, different, new"
2784,0,Green balloons are worth two points,"point, must, field, flag, end, oppose, target, place, different, new"
1758,0,Yoga in an indoor pool at a hot water level for high stress reliever,"point, must, field, flag, end, oppose, target, place, different, new"
2457,0,capture the flag,"point, must, field, flag, end, oppose, target, place, different, new"
1756,0,at a leveled water level,"point, must, field, flag, end, oppose, target, place, different, new"
807,0,"The points at the end are as follows: each ball is worth 500 points. Dances are judged by referees and awarded based on intensity: up to 100 points. Dramatic high fives are worth 10 points. Each ""frozen"" dancing or jumping jack member is worth 10 points.","point, must, field, flag, end, oppose, target, place, different, new"
736,0,"each goal is a different shape, one triangle, one square, one circle, etc. and each has a different point value (1, 3, 5) and are farther away than the other. if someone gets across the line without being noticed and makes their frisbee in one of the goals, the point values are tripled. If the player does this three times, that player is automatically frozen and no one from the opposing team can touch him/her.","point, must, field, flag, end, oppose, target, place, different, new"
806,0,The only way to rescue a team mate is to high five dramatically.,"point, must, field, flag, end, oppose, target, place, different, new"
1025,0,"Must move ball across the field and into the other team's goal using only elbows, knees, and head.","point, must, field, flag, end, oppose, target, place, different, new"
1057,0,"[""3. The other 2 players will have to spin around in a circular motion using a bat as it's center for 15 seconds.""]","point, must, field, flag, end, oppose, target, place, different, new"
456,0,"Musical instrument play-off: Those who can play a musical instrument and have achieved some level of skill can sign up to go in a freestyling tournament against other musicians. You are only allowed to use instruments that you have some level of skill with and there are no vocals. The crowd or panel of judges will decide who did the best job with the time they ""freestyled"" and improvised a piece of music.","point, must, field, flag, end, oppose, target, place, different, new"
1762,0,boxing at high intensity for a high loss of calories,"point, must, field, flag, end, oppose, target, place, different, new"
1073,0,"Using just your feet, try to bring cones from a starting point to an end point","point, must, field, flag, end, oppose, target, place, different, new"
2417,0,two teams of two battle on a slick muddy obstacle course. one team must finish the obstacle course while dodging paint-balls from the other team 5 hits and the contestant is out.,"point, must, field, flag, end, oppose, target, place, different, new"
2438,0,"this could be like paintball but with a twist, what if the objective to this game was not only to bring it to your side of the game but also to bring it back to your opponents side and defeat them. this would need to be set in a place like a junk yard so that it is not so easy to see you opponent if they have taken your flag, also you can not hover over the flag but you must be in the opposing teams area, if you are not able to get the team to be frozen for 10 sec by hitting them with an egg, or have then to start over and return the flag by hitting them with your tomato. if you have them freeze for ten seconds this will not only give you the opportunity to retrieve there flag and head over to their side of the yard, but will give you the advantage of winning the game, as well as throwing a tomato which will give the same benefit.","point, must, field, flag, end, oppose, target, place, different, new"
485,0,"and if it is played like this then the hoop should be larger, but if not then the 1 foot diameter hoop works nicely","point, must, field, flag, end, oppose, target, place, different, new"
2163,1,There could be a dark mode where the pool has limited or no lighting.,"water, catch, track, pool, paint, top, gun, name, swim, group"
2407,1,"Water hockey, with scuba suits on. be able to navigate through one another under water.","water, catch, track, pool, paint, top, gun, name, swim, group"
2119,1,It will keep get hard as father as we throw and hard to catch. The battle of water is not empty. It has water in there and it is not a big battle of water. It's  just the small once.,"water, catch, track, pool, paint, top, gun, name, swim, group"
705,1,you cant breath under water but you can jump like super man out of the water when ever you want. so that's how you can come up for air. but becarful the longer youre out of water the chances of your team losing go up,"water, catch, track, pool, paint, top, gun, name, swim, group"
312,1,"swimming pool noodles and a soft ball, a lighter version of hockey","water, catch, track, pool, paint, top, gun, name, swim, group"
1051,1,"['2. Each platform will give a perk or power. It will consist of speed up, oil spill which will slow down opponents behind you, and check engine light perk will disable the vehicle in front of your for a few seconds.']","water, catch, track, pool, paint, top, gun, name, swim, group"
2085,1,"[""It will keep get hard as father as we throw and hard to catch. The battle of water is not emtey. It has water in there and it is not a big battle of water. It's  just the small once.""]","water, catch, track, pool, paint, top, gun, name, swim, group"
2041,1,Have them look for water in the desert sound more interesting like give them water to drink but then give them like an empty gallon and place two teams on rhe desert and make them find water and the team that has the most wter wins. We can use the flags to indicate they are near water,"water, catch, track, pool, paint, top, gun, name, swim, group"
740,1,"if a human accidentally kills another human, that human will be killed. a human can only have one weapon of their choice out of a gun, machete, or an axe. zombie can attack with whatever it finds. if a human that has been killed has a weapon and the zombie retrieves it before a human does, the zombie can use it however it wants to.","water, catch, track, pool, paint, top, gun, name, swim, group"
1129,1,"2. Each platform will give a perk or power. It will consist of speed up, a tougher cart so that opponents have a tougher time throwing you off the track, check engine light perk will disable the vehicle in front of your for a few seconds, or a shield that allows you to negate something that might slow you down.","water, catch, track, pool, paint, top, gun, name, swim, group"
2030,1,"How about a fighting sport that involves giant robots? The robots could have some basic AI intelligence and learn how to fight via their owners, the owners would have to be excellent fighters though. Perhaps they could be inside the robots and it would be a giant robot martial arts mecha battle royal! Who ever falls loses and foul play such as weapons would mean expulsion.","water, catch, track, pool, paint, top, gun, name, swim, group"
676,1,"water based soccer - similar to water polo but with weight balls that stay underneath the water, and goals are in the bottom of the water as well","water, catch, track, pool, paint, top, gun, name, swim, group"
220,1,pool party football. you have an Olympic size pool and you play football. tackle your opponent by forcing them under water.,"water, catch, track, pool, paint, top, gun, name, swim, group"
732,1,"basket throwing bean bags: basket on top of a stick, team with most bean bags inside the basket at end of a period wins. opponent can topple the stick so that they lose bean bags.","water, catch, track, pool, paint, top, gun, name, swim, group"
1242,1,"With the extreme four square, we could even incorporate something extreme on the outside of the four squares. Such as a pool full of water or mud trenches. It would just give the competitors motivation to stay in the game because if they get out they would have to trudge through the mud or swim through the water.","water, catch, track, pool, paint, top, gun, name, swim, group"
1749,1,Jit Jit Su in the water with strength training,"water, catch, track, pool, paint, top, gun, name, swim, group"
3103,1,"tag played in human bubble balls or sumo suits. the person who's ""it"" is indicated by a stripe on the ball, or the color of the sumo suit.","water, catch, track, pool, paint, top, gun, name, swim, group"
2872,1,['Under Water Power lifting'],"water, catch, track, pool, paint, top, gun, name, swim, group"
440,1,"['Once the 24 hours expire, the group is given nighttime camouflage and basic supplies and tools, no weapons.']","water, catch, track, pool, paint, top, gun, name, swim, group"
1748,1,Jit JIt Su in the water,"water, catch, track, pool, paint, top, gun, name, swim, group"
2610,1,There should be different rounds with different kinds of paint. One could be under regular light and colorful paint. The next could be under blacklight with the type of paint that glows with black lights.,"water, catch, track, pool, paint, top, gun, name, swim, group"
1854,1,"they could gove you ""weapons"" like a paintball like gun or another weapon that doesn't hurt and you have to get the other players out.","water, catch, track, pool, paint, top, gun, name, swim, group"
1864,1,Ice archery. One team shoots a bunch of arrows with comically sized ball tips at targets on ice while the other team tries to stop them. With tackling or catches. Maybe one arrow ball that's easier to catch and that's how possession changes.,"water, catch, track, pool, paint, top, gun, name, swim, group"
2307,1,"Paint guns. Instead of painful paint balls hitting you, use water guns to spray the paint. There will be a loading base where you have to risk visiting if you need a paint refill. The object would be to shoot as many of the other team's members and eliminate them from the game.","water, catch, track, pool, paint, top, gun, name, swim, group"
73,1,Catching random items with a rope/lasso,"water, catch, track, pool, paint, top, gun, name, swim, group"
2252,1,"['it can be like racecar racing, but instead of a circular track the track can be square or rectangular.']","water, catch, track, pool, paint, top, gun, name, swim, group"
1250,1,%for the swimming it can be underwater obstacle courses such as rings to swim through and jump through or a lifesaving portion where they have to drag a dummy across the water.%,"water, catch, track, pool, paint, top, gun, name, swim, group"
433,1,"['The player/s are set into a special arena where they are initially in a ""safe room"": the safe room has objects and items such as weapons, backpacks, and supplies. The player/s is allowed to take as much as they can. The player/s then must leave the safe room and enter the arena, and navigate the arena to the endpoint. The arena is filled with many different dangers that are dangerous, harmful, and even lethal. Such as bears, cougars, snakes, and other animals that can kill humans. All these creatures have been bred and raised to attack and kill humans, and the humans must endure and survive against them.']","water, catch, track, pool, paint, top, gun, name, swim, group"
1419,1,Water breathers and goggles will be given to those wrestlers who ask for them.,"water, catch, track, pool, paint, top, gun, name, swim, group"
