Line_Number,Dominant_Topic_Number,Sentences,Keywords_In_Dominant_Topic
890,0,"Distractions are good, but I feel that in order to really provide a hassle for the participants, we would need some physicality involved with said distractions. What I mean is this; Have persons armed with foam bats or other items that wouldn't cause much physical harm, and have them pursue to knock around the participant. Seems a little harsh, however we see things like this in comical game shows on prime time television all the time.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1451,0,money tree.....hang a dollar at the top of the tree and see who can climb the top and get the dollar the quickest.,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1447,0,candy slide...fill a slip n slide with gooey candy and have some one slide down it and see who can slide the farthest.,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1486,0,"the tree branches should be full of money. The person who can grab the most money in a certain amount of time wins the prize money of both participants... The largest increments of bills should be at the top of the tree, so the higher you climb, the higher the bills, so the more likely you are to win","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
723,0,"team based obstacle course. team-building obstacle courses containing things like high walls, human puzzles, mazes. have a coach watching overhead to advise. different obstacles: knowledge base questions to proceed. bonus points for discovering hidden clues/questions/course. point-based/ time based. points depend on efficiency of how the task was overcome","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1442,0,car jumping...As a car drives by try and jump on them and jump to another car without dieing.,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
42,0,well how about this every tent will have things in it that is related to the subject like reading would words all around it and history would history things around.,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
2049,0,They could have letters in different places to help find their partner.,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
877,0,"Something that incorporates hang gliders also sounds fun, and extremely dangerous","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
63,0,Playing hide and go seek in a forest and see who is able to find other people the quickest.,"place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
2055,0,"These contestant will go through viguours exercises such as hiking, biking, and moutain climbing to catch clues on how to find each other.","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
873,0,"Yes, this is a glorified version on beer pong.  :)","place, new, wall, see, still, involve, type, obstacle_course, hard, animal"
1448,1,track runner....see who can run away from a hungry tiger on a track without getting eaten.,"could, water, flag, maybe, different, something, track, base, rule, jump"
1641,1,In a pond to see which one has the most amounts of jumps,"could, water, flag, maybe, different, something, track, base, rule, jump"
2232,1,The water should be 6 ft and instead of doing push ups for dropping the ball they should do a hand stand in the water for 20 sec.,"could, water, flag, maybe, different, something, track, base, rule, jump"
2512,1,Maybe there could be two catchers- one for each side of the pool,"could, water, flag, maybe, different, something, track, base, rule, jump"
2838,1,"Rules can be something like no scratching with toe nails, and they can maybe even kick each other to knock the other person over, wrap one leg around the other persons to rid their balance.  Half-time can be where they resurface for air or something like that.","could, water, flag, maybe, different, something, track, base, rule, jump"
494,1,maybe the ball could slowly float to the top?,"could, water, flag, maybe, different, something, track, base, rule, jump"
438,1,something with water balloons...,"could, water, flag, maybe, different, something, track, base, rule, jump"
773,1,This could be like Mario Kart. You cold collect some objects to slow down your opponents or gain more speed.,"could, water, flag, maybe, different, something, track, base, rule, jump"
501,1,"Steering is manual, and the machine has handles. It would be like a little missile that you grab on to and steer. Then you would use that to move around.","could, water, flag, maybe, different, something, track, base, rule, jump"
191,1,ping pong ball with a spoon but this time go around in a course with little jumps here and there,"could, water, flag, maybe, different, something, track, base, rule, jump"
1059,1,However many cups you can stack on top of each other in pyramid formation,"could, water, flag, maybe, different, something, track, base, rule, jump"
496,1,"Maybe shortened, but a few hours, maybe 4?","could, water, flag, maybe, different, something, track, base, rule, jump"
769,1,this sport is a great idea! when would the ball carrier be dunked under water? the large length of the pool seems like the teams would need to be bigger than 4. maybe a 8 person team with 3 substitutes on the sidelines. there could also be challenges within the pool such as a lazy river component that is flowing against the direction the team wants to go in and changes direction each time the other team is on offense. It would create resistance and require the teams not to float but to actually swim while playing.,"could, water, flag, maybe, different, something, track, base, rule, jump"
229,1,jump of a diving board to see who jumps the farthest,"could, water, flag, maybe, different, something, track, base, rule, jump"
1856,1,Some sort of organized parkour competition. The capture the flag game done in an organized setting with teams and obstacles.,"could, water, flag, maybe, different, something, track, base, rule, jump"
454,1,A good addition would be changing the scenario in which the game is played. Maybe adding that the players all stand on something that is unstable/always moving?,"could, water, flag, maybe, different, something, track, base, rule, jump"
758,1,The out-of-water receiver will only have 3 seconds to be out of the water before he is no longer able to be in the play.,"could, water, flag, maybe, different, something, track, base, rule, jump"
2098,1,"I like this idea because it's different and it has a moderate level of danger, but isn't highly dangerous. I feel like the track the carts would be set on should be very long in length and width. There would be a different track to retrieve the ball, and different track coming back to return the ball, that way it would lower the risk of collision to and from retrieving the ball and placing it in the net. I could see this sport becoming very popular.","could, water, flag, maybe, different, something, track, base, rule, jump"
2869,1,Singles and group competition.,"could, water, flag, maybe, different, something, track, base, rule, jump"
2548,1,run while completing five different jumps. final jump must not cross a designated jump and record the distance of jump,"could, water, flag, maybe, different, something, track, base, rule, jump"
1622,1,Jumping off roof tops,"could, water, flag, maybe, different, something, track, base, rule, jump"
1846,1,or you could have to sneak up on them and take something like a flag from them so that they get out that way. (like flag football or flag tag or whatever),"could, water, flag, maybe, different, something, track, base, rule, jump"
2560,1,"We could even use rubber bands. Each team could try to hit each other by snapping rubberbands. This would follow the same dodgeball approach. If you catch a rubberband coming your way, the person who snapped the rubberband, would be out.","could, water, flag, maybe, different, something, track, base, rule, jump"
2107,1,"The battle of water is what my group and I going to play with. there would be two groups. and each group has different color. For example, the battle of water is what we throw to each other and who ever cathes more than ten times is going to win.","could, water, flag, maybe, different, something, track, base, rule, jump"
1838,1,"there could be little help boxes or something similar around that the players don't know what is inside them. they could have anything from a point scored in there, to an automatic out for the player who chose to open the box. (lol kind of like pandoras box)","could, water, flag, maybe, different, something, track, base, rule, jump"
486,1,*something fun like water guns,"could, water, flag, maybe, different, something, track, base, rule, jump"
2244,1,The court can be on both land and water. Obstacles may include different animals or boulders.,"could, water, flag, maybe, different, something, track, base, rule, jump"
2565,1,"This sport will take place on a track. This track will be bigger than the traditional 400 meters. The track will be divided into 4 sections. At each section, there will be obstacles the runners will have to complete. The object of the sport is to go through the tract faster than their opponent. There will be 4 people competing against each other at once.","could, water, flag, maybe, different, something, track, base, rule, jump"
1834,1,"maybe each of the climbers have to go through challenges, first starting off some what easy and getting harder and harder as the challenges progress. It could be like survival of the fittest. there could be a total of 10 climbers, 5 women, and 5 men, at first and each challenge 2 people as sent home because they failed to finish or they had the slowest time.","could, water, flag, maybe, different, something, track, base, rule, jump"
2875,1,Different competing classes based on age and difficulty level.,"could, water, flag, maybe, different, something, track, base, rule, jump"
2580,1,There should be different rounds with different kinds of paint. One could be under regular light and colorful paint. The next could be under blacklight with the type of paint that glows with black lights.,"could, water, flag, maybe, different, something, track, base, rule, jump"
219,1,"capture the flag dodge ball. This would be played in an open field with 2 flags at opposing bases. there are 2 different colored sets of balls belonging to respective teams that only those teams can use. you try and grabbing the other teams flag without being hit by a ball and if you are hit than you must return to your base and ""reset"" yourself.","could, water, flag, maybe, different, something, track, base, rule, jump"
2581,1,"We could create a new life-size board game with rules and objectives specifically geared towards real-time 1 on 1 competition between players. For instance if player 1 draws an ""arm-wrestling card"", she can choose any other player ahead of her on the board to arm-wrestle with and can steal that player's spot on the board if she wins.","could, water, flag, maybe, different, something, track, base, rule, jump"
487,1,water balloons could be used as grenades,"could, water, flag, maybe, different, something, track, base, rule, jump"
1855,1,Ice archery. One team shoots a bunch of arrows with comically sized ball tips at targets on ice while the other team tries to stop them. With tackling or catches. Maybe one arrow ball that's easier to catch and that's how possession changes.,"could, water, flag, maybe, different, something, track, base, rule, jump"
3047,1,"tag played in human bubble balls or sumo suits. the person who's ""it"" is indicated by a stripe on the ball, or the color of the sumo suit.","could, water, flag, maybe, different, something, track, base, rule, jump"
1657,1,"this is probably kind of dangerous, but it would be like a branch of horse races, but instead of horses there could be more non domesticated animals and like wild animals...maybe a hyena (I'm not sure actually they may be too wild), okay so like these have to be people who are trained professionals on how to train wild animals. they are able to be around tigers or jaguars with no problem, so instead of horse races it would be like jaguar races. BUT THESE PEOPLE HAVE TO BE TRAINED FOR YEARS and train their animals for years and preferably have them grow up together so that way the animal is emotionally attached to its owner and won't have the urge to eat them. So they would start on a track, but instead of one of those rough tracks like the horses, this track would be made out of hardened mud for the comfort of the paws of the jaguars. If they aren't able to run on tracks (if it's impossible to train a jaguar to do that), maybe have the jaguars run to a certain target and have like a tracker on them while the rider is riding them. There could be five different bases with five racers and they all start in the middle and it will test the trainers as well as the jaguars. OR IT COULD BE JUST ONE BASE AND WHOEVER COULD FIND IT FIRST but that kind of sounds ridiculous. I don't know...","could, water, flag, maybe, different, something, track, base, rule, jump"
1810,1,sabotage could be involved. like spy stuff or something,"could, water, flag, maybe, different, something, track, base, rule, jump"
835,1,"Maybe it could be a team sport: 3 people per square/arena or something like that? And if certain songs are played certain dances have to done, like Cha Cha Slide or Crank That (;","could, water, flag, maybe, different, something, track, base, rule, jump"
3080,1,"How about the person as whole in the water, have different races with them under water. like underwater track.Like racing to a particular point to see whose faster, competing on a diving board, etc","could, water, flag, maybe, different, something, track, base, rule, jump"
2767,1,"% OK so you mentioned having a obstacle course in the field, I think that sounds like fun and it definatley requires a lot of body movement. So some of the obstacle course could be like the field being a little steeper and having different those things you use in track to jump over. Anyways my point is not to go to crazy on the obstacle field ,like wipe out etc.","could, water, flag, maybe, different, something, track, base, rule, jump"
3082,1,"if this idea will be used, a rule book with scales judging finesse and beauty must be made. Those qualities are relative to the person so it may be difficult to judge those qualities without strict guidelines made. Also, maybe tricks or formations should be included. This would make it like figure skating in the air. Maybe skydiving can be incorporated somehow?","could, water, flag, maybe, different, something, track, base, rule, jump"
2667,1,Or the new sport could use trampolines and sumo-wrestler outfits.,"could, water, flag, maybe, different, something, track, base, rule, jump"
1741,1,In door water cycling,"could, water, flag, maybe, different, something, track, base, rule, jump"
2669,1,Or the new sport could be a relay that goes around the entire planet. There could be 50 athletes to each team and they would be spread out over all continents. Each athlete would have to finish their portion of the course and pass the baton to the next athlete.,"could, water, flag, maybe, different, something, track, base, rule, jump"
2670,1,Or the new sport could be and elliptical trainer endurance contest. It would be to see who could go on the elliptical trainer for the longest without a break.,"could, water, flag, maybe, different, something, track, base, rule, jump"
290,1,"Actually, I changed my mind. It doesn't matter how many people are on each team because it would be fun to do with a group of people, or with a couple friends at the pool. The rules would always stay the same, just maybe a little modified in order to keep it shorter than a game of monopoly. Maybe the more people you have, you could have two or three people on a team working together in order to find everything. The list would increase though...","could, water, flag, maybe, different, something, track, base, rule, jump"
1201,1,maybe it could be a race? and possibly take place on the water for more of a challenge?,"could, water, flag, maybe, different, something, track, base, rule, jump"
1207,1,"I would imagine with would work similarly to a paint-ball arena. However I believe large scale laser tag could become much more versatile than paintball. The suit one would wear would be more accurate and responsive, depending on where the laser hits on the suit, the more points one would receive. Different ""laser weapons"" could be come available, such as a standard hand gun, or a more wide spread weapon with a lower firing rate. This could take place across a large terrain with 5 v 5 or 10 v 10 matches.","could, water, flag, maybe, different, something, track, base, rule, jump"
1740,1,Jit Jit Su in the water with strength training,"could, water, flag, maybe, different, something, track, base, rule, jump"
