Line_Number,Dominant_Topic_Number,Sentences,Keywords_In_Dominant_Topic
1645,0,I know from my families jobs that people go to the ER for seemingly ridiculous things. Perhaps we could screen these people out to avoid unneccesary wait time and spending,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1646,0,i think it is just a matter of getting more people and bigger facilities. We just have to find a way to get the money,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
316,0,Increase funding on stem cell research.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
314,0,Instead of loosing territory to new Wal-Mart's we should use that territory to build new hospitals or clinics.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
703,0,Increase funding for NASA so better technology is created that could be used for medical use.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
313,0,Before we try to fix our healthcare system we should fix the things that are preventing us from improving it overall. Which is the whole money problem.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1243,0,I think that until it is absolute certain that a patient in a comma on life support is comptely loss than healthcare should cover them,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
349,0,I think that the field tests should be very practical because we learn by experience and not just by memorizing the books.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
664,0,"Hospital waiting rooms and information desk should offer monthly newsletters for the people of the hospital to see more of what is going on with in their hospital, such as new technology, new doctors, and or modification to hospitals policies or areas of the hospital","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
382,0,there should be a annual seminar held in schools to inform students of diseases that are common or expected to be common that year and the measures that can be taken to prevent the diseases.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
381,0,"yes, because some of the more affordable clinics are not up to code and professional, discouraging people from going to such clinics.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1584,0,we need a nationwide data base for when a prescription is prescribed so that drug seekers cannot get a hold of too much medicine,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1587,0,"lower incomes should have access to diagnosis and prescription or shot, but not ER services or specialist appointments (like podiatrist, dermatologist, etc)","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1262,0,ER should be limited to people with a serious life threatening condition or a serious injury. A lot of people now days are in long lines for the ER room due to the lack of identifying what is serious and what is not.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1260,0,the ER is just a tad too expensive. The cost is supposed to make the common cold and cuts go to a clinic and leave the ER to the emergency. But its also too expensive to make someone who might have serious problem stay at home and wait to sees if it goes away.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1594,0,"Our taxes should be going to the medical industry and not to weaponry, as we are in severe need of more public hospitals and parkland alone will not cut it","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1259,0,"It is unneccery to go to the ER when all you have is a common cold. Yet only a few clinics in towns stay open past 5 and only on week days. and if it cant wait till morning or the weekend but its not serious like broken bones, the ER should not be that expensive","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1258,0,"agreed and also most of the elderly that I know of have no intention of going to a old folks home, and so the cheaper the medicine is for them to stay healthy, the longer they can live happy and independent.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1598,0,Emergency room services at the public hospital should not be hours and hours of wait time. This is something that needs to be resolved and not looked over.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
348,0,"There is really no excuse to not being healthy. Even an app can help out a person, so idk why so many people complain about not being in shape. It is all a matter of choice and action.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
371,0,"have more clinics that are up to code, and professional","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1257,0,more money and research and development should go into the technology to have it so advance that it can help significantly in the detection and treatment of cancer and any other illness or injury.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
366,0,"this would not be quicker. it would be more stressful for doctors and nurses, and they would be in such a rush to get to every patient that they could miss minor details in a persons health that could be deadly.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1604,0,"That is pretty messed up to say, they have a right to live just as much as anyoen else too. I dont know if you know but people have died from skin disease and other specific diseases that an individual with specalized case can resolve.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1605,0,"Also, emergency services is a must hence the emergency part.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1254,0,"I went to a free clinic to volunteer, and these people whose children had diabetes, a cold, etc. didn't even have any medicine at all to at least alleviate some symptoms.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1609,0,"I was with my grandpa at the hospital, and there was an indian intern who came in for respiratory treatements, and I wanted to punch him in the face.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
360,0,The only problem is that the person has to be qualified. I'm not about to take myself or a loved one to a doctor with no experience.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
679,0,"If they were more response, they could have saved more lives","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
684,0,Technology needs to be better explained to patients before they are used.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
686,0,Make yearly checkups available to everybody.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
350,0,A diverse environment inside hospitals would help people be more accepting with other races. It would help patients be friendly to people they have never interacted with.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1600,0,"For example, my grandpa was in the hospital and the doctor gave up on him, but we took him to another hospital and now he is doing fine.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1579,0,"But who should stripe me of this thought, and on what grounds? I feel that a group of people who have paid in, and are our elders, they need to be taken care of, not thrown by the wayside. I think that the bigger issue is that as a nation we are straying away from who we are. Granted I am thinking with my heart, but in the end it is for better not worse. Communism seems to be such a beautiful thing, common sense applied, pure perfection, but the one rule which it does not take into account? We as humans are not perfect. We cannot have a Utopia, it is against our nature.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1648,0,"What is a free clinic? You mean walk-in clinic/minor emergency clinics? Your idea is a good point. A good way to fix the wait time is to give higher pay for general practitioners. Most doctors specialize because they get paid so much more, but minor emergency clinics just use general doctors. If we could pay them more, we would have more doctors to get patients through faster","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1655,0,"more hospitals not clinics, just need organized solution.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
267,0,Pharmaceuticals should be aware of all the medications being prescribed at their pharmacy so that they do not harm anyone with the new products.  In other words new products should be tested so that people do not get sick from them and then need medical attention because of it.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
741,0,Create technology that allows doctors to preform tests on a patient to make sure they are healthy.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
265,0,Hospitals should look for cheaper methods they could use that are as efficient as the expensive methods to cure their patients,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1685,0,Maybe we should cut government spending from something less important than the health of our citizens,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1196,0,Medicine should be available to everyone.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1687,0,"Educating the masses in a variety of areas of health care, especially the ones who are prone to make injunctions of their own health as well as potentially harming others around them, could save a lot of money. Those who are unaware of the dangers of doing too many drugs or even teenage pregnancies cost everyone around them money because they are unable to pay for their hospital expenses. Educating individuals further than the crap I've experienced throughout school would stop many of the people who do not realize the effects of their actions of society. There are people on life support who do not have family to pay for them or their own riches to keep them alive. Decisions have to be made if the technology is not available to save people. Care for elderly people, the mentally unstable, and persons with severe mental in-capabilities should not be paid for by the government and insurance companies but by the people who want them to be cared for, which in some cases there aren't any. If the disabled, physically or otherwise, are unable to or unwilling to contribute to society in any way shape or form and only hinder the progress of reform by literally and fiscally taking up space that could be used to advance technology or save more people from illness then they should be put down in order to utilize what resources we have more effectively. Doctors and psychiatrists should not be so apt to hand out prescriptions for drugs, especially with mental disorders such as depression. It creates problems not only through the patients but as well as those that need to be hospitalized for obtaining, either from buying them from the patient or stealing them, drugs and using them in manners that they were not intended to be used for. Other treatment should be used first and drugs should be seen as a last resort instead of a means of getting the patients out of the office. Possibly subsidizing more of the costs of hospital expenses could lower the costs that the hospitals themselves pay, and through that lower insurance costs and out-of-pocket expenses from the patients. People need to be more responsible, or taught to be, when it comes to health care and the costs. If an uninsured person has to go to the emergency room, there is no time to make sure that that person has health insurance, and if they do not then the rest of society has to pay for it either literally or through hospitals having to cut back on staff, technology or quality of medicine and procedures. If we explore the possibilities of advanced technology we could potentially cut back on spending by removing the need to have to use invasive and costly surgeries and therapy.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1689,0,I think EDUCATION on preventive methods to illness would help significantly. So many of the common diseases or conditions are self inflicted and avoidable. I was diagnosed with Hypothyroidism at 22 and without knowing at the time what was wrong I thought I was dying. It took me going to an OBGYN ( thinking I have cervical Cancer) to find out that my hormones were out of wack. They immediately wanted to put me on the most expensive medication they could find ( which had a whole laundry list of side affects itself). With a little digging i found that a little exersice and healthy eating would naturally turn my condition around.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
743,0,"No point, the drugs will be sold on black market. Rather, increase awareness about drug abuse and give easy access to those who wish to have help.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1192,0,"The government should support health care technology and set a budget for it , especially in the research fields for finding new cure and medicine for several diseases.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
256,0,Expedite wait times in emergency rooms.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
749,0,Stop using nuclear energy. Use natural energy to create generators to keep people in hospitals alive such as wind and solar powered equipment or generators.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1683,0,Doctors should have to pass a handwriting test prior to them being allowed to write prescriptions.  That could prevent thousands of mistakes and lives being lost,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1169,0,They should do a drug test or background check on everyone before prescribing them medicine. They need to come up with a shot that can be used instead of pain medicine for all of the people that failed. That way the doctors can still give them pain medicine but it cannot be abused.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
757,0,"Make it difficult for doctors to screw up. They are still people, and of course you want your life to be saved, but mistakes can happen, but if there's a way to limit those mistakes, let's do that.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1159,0,They should be required to take a drug test.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1722,0,Ship all the sick to Guantanamo  HA sorry i just could not resist.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1157,0,"They should also somehow broadcast the symptoms of some of the common cancers so that people can identify their symptoms and go to the doctor sooner. They could do this with commercials, magazines, newspapers, radio, etc.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
238,0,"I honestly don't know, we need to start educating americans at an early age that drugs aren't the solution to every medical problem. That taking to much drugs can lead to other medical issues.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1152,0,"Agreed. A free drug test. If that drug test is failed, then they would have to wait an entire year to be able to apply for annual healthcare again. If the drug test is passed, then the first screening should be free.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1732,0,If the children were smarter about healthy lifestyles then there would be less unnecessary doctor visits which waste time and money and be less at risk for disease and accidents and we would be able to spend that money on those who need it.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1733,0,"They make bigger hospitals for that reason. What should be done is emergency response teams should be able to make the call as to which hospital to go to before they decide on one place, if the patient is stabilized enough to have the couple of minutes available to do so.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1148,0,This could be done by keeping the patient's insurance information confidential from the nurse by having another person designated for any insurance information/claims.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1147,0,Having more doctors available could help this so that they have the time to really assess a patient instead of running around trying to get to everybody.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1144,0,They should require someone to take a drug test (testing for illegal drugs) to determine whether or not someone is able to receive free/reduced healthcare. Because if they are doing drugs then they don't have good health and obviously don't care if they have good health.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1710,0,"I agree that technology is advancing faster than education, but on the societal aspect. There is a major gap between those who create the newer and newer technology and the consumers and general population. I think its fine that technology is ahead of education, however the gap should not be as wide as it is and it should not be growing at the same rate.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1218,0,A bigger budget should be given to the biomedical labs to cure cancerr,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1198,0,"And also for better, more precise surgical technologies.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
272,0,"Hospitals should spend less on the look of the hospital, but more on how their services are given equal to their patients.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
713,0,"Allow stem cell research, why it's not being studied enough I don't understand.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1214,0,"abortions need to have a rising price tag per operation. 1 abortion is bad enough, any more is a sign of lack of responsibility and stupidity, and they should be fined for it.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
302,0,"This is a good idea. If you have a minor cut that needs to be stitched and someone comes in with a limb cut off or something just as severe, they should get treatment first.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
301,0,they do this already. The medicine cannot be widely distributed if it has major side affects that make the patient worse.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1213,0,"personal religious beliefs aside, parents who are considering birthing a child who is guaranteed a life of suffering need to be REALLY informed of the testimony of people who have the same disease that are alive. I was against abortion 100% until I heard a disease stricken man say "" mother, why didn't you abort me? you should have. I would have aborted myself.""","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
719,0,Local Doctors should be in areas where patients are needed.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1210,0,"to increase knowledge of how to self diagnose symptoms, or to prevent sickness, upon leaving a medical office, after a check up, operation, whatever, large books of common sicknesses, their symptoms, and prevention, should be available. just like how telephone companies used to give phone books for free, or included in the payment. if people were more readily informed by a trust worthy source (because you can't always trust the internet), many problems could be avoided. not everyone has access to the internet, but almost everyone can read nowadays. unless this has already been implemented...then nvm","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1663,0,no just opportunist and non opportunist,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
295,0,"It should be quick too, less waiting time for the patients.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
724,0,Stop selling drugs in stores or monitor where the drugs are coming from.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
289,0,It is more manageable to track down patients' medical records from computer than piles of copy paper.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
270,0,Cut off the expenses that are unnecessary,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
288,0,Hospitals are actually going paperless so they are installing many computers and flat screens.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
730,0,deny extra aid for smokers,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
283,0,i think the same that hospitals should worry less about the architecture of their building unless they are accommodating on the number of rooms for patients rather than the style or appearance of the place to save money on decorations and spend it on equipment,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1202,0,"For long-term patients, there should be a person they can talk to so if their families can't really come and visit all the time, they will still have someone to be there for / with them.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
732,0,I think smokers should be given more aid and should be sent interventions so they can get out of their smoking habits and live a healthy life.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1201,0,There should be more clinics around cities. It's more convenient than having to go to the doctor / a hospital if it's just a minor problem.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1200,0,"People should be educated about how to react in emergency situations. For example, if someone broke a bone or if anyone is having a seizure, stroke, heart attack, etc., it would be ideal if the general public knew how to react in those types of situations and at least hold it off until help arrives.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
736,0,I wish we had that technology,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
737,0,"We have this technology, people are just nervous about it","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
275,0,Depending on how severe someone is hurt then they should be skipped to the front of the line. If they medical attention that you need is not as an emergency then you should be willing to let others get treated first.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
552,0,The front desk staff could communicate for effectively with the patients on wait times and things like that so that they wouldn't get so frustrated with how long they have been sitting there. Maybe keep a screen with the waiting line if there is a more important case then it jumps. Have certain colors that identify which is more serious and needs attention sooner rather than later. I think the main issue about waiting is people want to be in the know about what is going on,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
273,0,Improve waiting lines for sick patients.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
286,0,"Hospitals are going paperless so heavy use of technology such as flat screens, table cart computers, bar codes, and tablets are really helping the physicians to retrieve the patients' medical records faster.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
225,0,There needs to be an advancement in the study of mental health. I feel like its such a black and grey area. Having the proper diagnosis on a person and treatment for the person.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
663,0,"Unfortunately, a lot of times there are personality tests given to nurses and doctors but in time of crisis how can you say no you can't work with that patient because your personality will clash with theirs when you don't even have the time to evaluate the patient?","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1267,0,"Patients are normally frightened by hospitals because of anxiety or past experiences. Since this is the normal behavior of patients, our nurses and doctors should be very warm and easy to talk to. Nurses and doctors should also be able to communicate with patients in a way that the patients can understand.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
503,0,"a first aid course should be mandatory for all jobs, not just those dealing with children.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
502,0,yes because many times the drug itself is worse than what is being treated.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
584,0,"A universal health care system should be on back up so when a person checks into a hospital while on vacation, there isn't a stack of paperwork to fill out every time.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1344,0,I think Nurses should be doing more than just just taking mediocre test that can be learned online.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1471,0,"a solution may be to add on to hospitals, expand and add a few doctors and staff instead of building whole new hospitals, this might cut down on the cost but help with time spent waiting.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1343,0,Circle of Life. We cannot stop evolution. Death should be just as important as Life.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
493,0,"hospital waiting areas can be more efficient, waiting areas can be crowded even with tons of staff there","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
491,0,"insurance policies should be easier to understand by any body, not filled with unnecessary literature","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1337,0,alot of doctors are overwhelmed and in a rush to get to the next patient,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1483,0,Clinics should also be open long hours like hospitals and people shouldn't neglect clinics. If you dont have a severe problem we should recommend clinics to patients.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1486,0,"we need a comprehensive basic plan to cover preventative care for everyone to improve general health & well being.  early diagnosis saves money spent on more costly procedures, good dental hygiene prevents many health problems and having more face time with patients to reinforce things like the benefits of exercise and nutrition as well as the harm of being overweight & smoking would reduce later costs to the system","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1458,0,"Some of the red-tape for healthcare providers should be streamlined.  When having surgery, they have to spend a lot of time going over repetative liability waivers which wastes time and resources","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1336,0,the emergency room should be strictly for emergencys to fix that problem,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1490,0,"workouts should be given as ""prescription"" just like drugs are. physical health is just as important and the only time your required to ""workout"" by a doctor shouldn't be just for rehab after surgeries.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1335,0,it takes hours for a real emergency to be treated due to the overflow of patients,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1492,0,Prior to prescription drugs prescribed by the doctor like a large dose of some kind should only be prescribed once and only once especially drugs in the type 1 category like morphine or something of that nature sometimes patients abuse the privilege of taking high dose drugs and do other personal things with them.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
599,0,"It will also help if emergency rooms were completely staffed, some hospitals only have the minimal amount of doctors working during certain times in order to reduce cost.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
603,0,"We could also just better staff the hospital, it`ll be more expensive for the hospital and overwhelming for the doctor if we keep them overnight.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1495,0,"I agree. But it would be hard because the patient may not take initiative and go exercise, like some patients sometimes skip medications, the patients might ""skip"" and not workout.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
476,0,Fund technology for pharmaceuticals to better enhances the treatment to a sickness,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
604,0,That's why you would have colors to identify which case is more serious and you would use a number system to identify each patient. It would be the same as when they call out your name to take you back to your room,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
605,0,"This is true, i have probably received 3 of the same shoots because the new hospitals I visited did not have my records. Patients are supposed to keep their own record, but these can be easily lost or misplaced.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1501,0,Thats true most clients are hesitant to go to the doctor and tend to wait until the symptoms they are feeling worsen and by then the problem they might encounter can become very severe.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
606,0,I think they need to stop cutting back on staff for budget cuts and saving costs but take phone out of offices or go paperless. They need to cut the small things before they cut the major things,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
484,0,Increase the fund for technology in preventive medicine to fight future outbreaks and diseses,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
471,0,Give only necessary needs rather than maximum benefits to save funds for more needy people,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1354,0,Secure our borders,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
508,0,"there should be a limit, like in new york city, on how big a coke you can buy since they are bad for you","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
553,0,"Hospitals or late night clinics should have a pharmacy that is accessible to the patients so you can get the medicine while you are there for the visit and not have to go the pharmacy after waiting, getting examined, and then waiting to be released.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
558,0,There should be more volunteer opportunities and internship.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1369,0,Technology has come a long way .,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1368,0,I was watching this show where the hospital was switching over to a new health care procedure when admitting patients to the ER. What i say was they were only allowed  an allotted time with the doctor/patient interaction and there was a script for protocol.The doctors felt like there wasn't enough time to thoroughly asses the patient and to for some type of contact to really understand the problem. With all that being said it could be where the healthcare system is going .,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1405,0,Agreed. We can often at times be lazy especially when we have resources out there. Some of us takes the easy way out. instead of the long and difficult way.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1410,0,technology is improving tremendously i was researching how far we have come from using technology in the healthcare system and it has come a long way.They have machines where your able to see a persons body in 2 shots with a click of a button.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1420,0,This is true. I would leave school all the time because the cheese on the pizza would literally fall off in one piece.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1422,0,Sometimes people always think a pill will fix everything. It has been engraved in our heads that if we take this certain pill everything will be okay. It seems like in the later part of this century that all these conditions have been popping up...it just seems like no one in the previous centuries had the problems we did.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
568,0,"There should be two groups of nurses on staff, one for life threatening and another for minor injuries","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1425,0,being able to schedule doctor appointments online would cut down on time in the waiting room,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
569,0,And should not be limited to an exam or treatment but their prescriptions as well,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
507,0,there should emergency centers within 5 miles of any population of people,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
574,0,long term care facilities should be better accommodated to feel like a home and not a temporary hospital,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1436,0,"True enough especially knowing a lot of people like to drive under the influence of either drugs or alcohol. A mental health screening wouldn't be such a bad idea not only categorizing drugs or alcohol but you never know by getting that mental health screen there can be something so minor or major you wasn't aware of and you can go to the doctor or hospital to get that special need taking care of for instance pregnancy, skin disease, chicken pox, or even diabetics that didn't know you had and is diagnosed with diabetes.","patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
1437,0,this seems like a great idea but the app may tend to have glitches and can have technical problems. And also people come and go so not everybody will know that this app exsist and not everyone has a smart phone and has access to this app. the doctors time he spends with his patients varys so he may not always be on time for the next patient thats why there are so many people waiting in the waiting room. everyone has their own clinical problems but if the doctor can at least spend with each patient for 30 minutes it will help with the waiting time for the other patients.,"patient, time, hospital, problem, drug, medicine, person, technology, give, wait"
