Line_Number,Dominant_Topic_Number,Sentences,Keywords_In_Dominant_Topic
10,3,"Helmet, knee and elbow pads, and cleats are optional.","make, different, not, would, race, way, obstacle, people, also, good"
11,2,Polo without the horses.,"team, ball, player, game, get, point, hit, member, goal, throw"
12,2,what about jump rope,"team, ball, player, game, get, point, hit, member, goal, throw"
13,2,what about eating food.,"team, ball, player, game, get, point, hit, member, goal, throw"
14,2,how about sleeping,"team, ball, player, game, get, point, hit, member, goal, throw"
15,2,beer cup a sport,"team, ball, player, game, get, point, hit, member, goal, throw"
16,2,line basketball,"team, ball, player, game, get, point, hit, member, goal, throw"
17,2,touch football,"team, ball, player, game, get, point, hit, member, goal, throw"
18,2,singing music,"team, ball, player, game, get, point, hit, member, goal, throw"
19,2,pie eating,"team, ball, player, game, get, point, hit, member, goal, throw"
20,2,team of work outs,"team, ball, player, game, get, point, hit, member, goal, throw"
21,2,watching tv,"team, ball, player, game, get, point, hit, member, goal, throw"
22,3,easter egg hunting,"make, different, not, would, race, way, obstacle, people, also, good"
23,1,who can talk on the phone the longest.,"would, sport, could, water, also, require, able, opponent, winner, certain"
24,2,walking the distance,"team, ball, player, game, get, point, hit, member, goal, throw"
25,2,who can count the highest,"team, ball, player, game, get, point, hit, member, goal, throw"
26,1,problem solving,"would, sport, could, water, also, require, able, opponent, winner, certain"
27,0,"what about having school or university compete in whose smarter. Or something like that with math, reading, history, psychology, science and with that you have to run to different places like math has its own tent and reading and history and so on. You would have to run to the tents and solve the problem.","person, must, time, win, first, go, flag, balloon, end, give"
28,2,instead of wrestling you can add hoops to each end but using the same wrestling technique when trying to retrieve the ball.,"team, ball, player, game, get, point, hit, member, goal, throw"
29,0,"the obstacle type courses should be familiar with the army type of obstacles such as monkey bars over mud, climbing over high walls. When trying to retrieve the ball from the opposite side you can tackle that person and start using wrestle techniques on trying to receive the ball but only if it is one on one. If this were to happened there would be a new time limit on the clock say 1 minute 30 seconds for those two people who are wrestling. if the time goes up and the same person has the ball that person get a two minute head start kind of as an reward that they still have the ball. after the two minute head start is up the regular time limit starts again to finish the obstacle course","person, must, time, win, first, go, flag, balloon, end, give"
30,3,"The pins can be higher than ground level so you're not just trying to hit the ball at the floor. There can be pins together or spread out so you can get points by hitting different pins like targets. The ball can be thrown by a pitcher on the different team or just tossed by someone on the same team so that targeting isn't impossible. Like in baseball, you have three chances to hit at least one pin. If you miss all the pins three times, you're out.","make, different, not, would, race, way, obstacle, people, also, good"
31,2,"It can be like a stamina competition where where teams together do a workout, and whoever reaches a certain number first moves on to the next workout. Like the first full team to get to 200 sit ups moves on to sprints. Teams can't move on till every member has completed the current workout. There can be many teams competing and also a time limit. If a team takes too long to get the workout done they're disqualified","team, ball, player, game, get, point, hit, member, goal, throw"
32,2,"Balls being passed can't be intercepted by hitting the ball, only by bumping it as well. Once you get to the area where you shoot it can be like basketball again and the other team can try to block you. More points can be scored if the ball is bumped into the basket rather than shot into it.","team, ball, player, game, get, point, hit, member, goal, throw"
33,2,It can be more of a sport by adding in athletic competition too. The tents can be a distance away from each other and members have a certain amount of time to reach them. Once they get to the tent they'll complete the academic task by solving a problem or reciting something. From there they run to the next tent until they're complete. Teams can compete at once or take turns until all the team members are done.,"team, ball, player, game, get, point, hit, member, goal, throw"
34,1,"Or a scavenger hunt sport in general. Teams can be given a certain list of things to find in a playing field. The playing field can be difficult to run around in with lots of hills, crawl spaces, etc. They'll have a backpack to put their things in. It can also be where each item found has a task with it. Like once you find the baseball you have to shoot it at a target wherever it is in the field and continue. Or once they have find all of their items first and then go to shoot them somewhere or at a target and then they're done.","would, sport, could, water, also, require, able, opponent, winner, certain"
35,2,"teams can jump rope a distance as competition. Or they can compete by jump roping a certain amount of times, for a certain amount of time, by doing the most number of tricks, etc.","team, ball, player, game, get, point, hit, member, goal, throw"
36,3,% this is a good idea. the lines at the bottom would most likely be the best option. I feel that the wrestlers would need to push the opponent completely out of bounds in order for this to work(considering how easy it is to barely push your own foot out of bounds. Would the pool/ wrestling boundaries be as big as a normal wrestling mat/ring? %,"make, different, not, would, race, way, obstacle, people, also, good"
37,3,extra hard easter egg hunting,"make, different, not, would, race, way, obstacle, people, also, good"
38,2,"sounds like a good idea. what if the defensive team were to actually put more obstacles while the offensive team is running the course(EX. during the wire crawl, create rain with a large hose; dropping objects during the climb)?","team, ball, player, game, get, point, hit, member, goal, throw"
39,2,well how about this there team members in the pool holding the basket for there team members on there head so its like the team member with the basket on there head can move with there team members.,"team, ball, player, game, get, point, hit, member, goal, throw"
40,2,well how about this with the line basketball there are 10 to 20 people on a team and the first team to 20 points win.So  everybody will have a chance to play and some with play twice but the person who is trying to make the basket can not leave until they make it.,"team, ball, player, game, get, point, hit, member, goal, throw"
41,0,well how about this it can be 5 to 10 people on a team and the pins can be everywhere because when using a bat to hit something 9 out 10 times it will fall. So and the must pins hit at the end of two minutes wins but everybody will get a chance.,"person, must, time, win, first, go, flag, balloon, end, give"
42,3,well how about this every tent will have things in it that is related to the subject like reading would words all around it and history would history things around.,"make, different, not, would, race, way, obstacle, people, also, good"
43,2,okay what about line dancing,"team, ball, player, game, get, point, hit, member, goal, throw"
44,2,well how about the battle of the bands like where different school put together four field shows with four songs and they will perform them in front of everybody like people will buy tickets to see it. it would happen like every once a year maybe twice a year like in August or October and again in March or April.,"team, ball, player, game, get, point, hit, member, goal, throw"
45,2,"what if instead of their own team member carrying the basket on their head, a member of the opposing team has the basket on their head.","team, ball, player, game, get, point, hit, member, goal, throw"
46,1,"a two teamed sport, that way there is a winner and a loser.","would, sport, could, water, also, require, able, opponent, winner, certain"
47,2,using a tennis ball as the main ball,"team, ball, player, game, get, point, hit, member, goal, throw"
48,2,"maybe combine some of the aspects of real sports. for example, trying to move the ball towards an area (like a touchdown) and throwing the ball in a hoop or goal (like basketball, hockey, or soccer)","team, ball, player, game, get, point, hit, member, goal, throw"
49,2,"offense and ""defense"" in the sport, one's trying to score while the other tries to stop them from scoring.","team, ball, player, game, get, point, hit, member, goal, throw"
50,2,"have it kind of like ultimate frisbee, where you throw the tennis ball back and forth along your team, moving towards a designated scoring line, once you get to the scoring zone, you get a 2 points for the score and can score an additional point if you throw or put the tennis ball in a basket. then the other team gets the ball and tries to do the same.","team, ball, player, game, get, point, hit, member, goal, throw"
51,1,"it could have turnovers, like drops or interceptions, but make it where any team can get the ball and score, (in ultamite frisbee, if they drop the frisbee, the play stops and the defense gets the frisbee. I suggest it makes it a live ball where anyone can pick it up and keep playing)","would, sport, could, water, also, require, able, opponent, winner, certain"
52,2,"having two scoring zones on the field, one for each team","team, ball, player, game, get, point, hit, member, goal, throw"
53,2,get an extra point for a celebration dance,"team, ball, player, game, get, point, hit, member, goal, throw"
54,1,people should be able to tackle,"would, sport, could, water, also, require, able, opponent, winner, certain"
55,2,teams can be as many people as long as its even or close to being even,"team, ball, player, game, get, point, hit, member, goal, throw"
56,2,"something to do with a bat, like hitting the ball away","team, ball, player, game, get, point, hit, member, goal, throw"
57,1,"make it kinda like quidditch from harry potter and have multiple balls and multiple ways of scoring. except, you know, without the flying on brooms part","would, sport, could, water, also, require, able, opponent, winner, certain"
58,1,"have one key player on each team that has to do something specific, like a quarterback or kicker in football.","would, sport, could, water, also, require, able, opponent, winner, certain"
59,2,"maybe they have to do something silly like moo everytime they get the ball and quack everytime they score, just to make it funny","team, ball, player, game, get, point, hit, member, goal, throw"
60,2,"Playing ""marbles"" but instead of using actual marbles, use a bigger ball instead such as twice the size of a soccerball. To move the ball you can either kick, push, or throw the ball and you will get a specific amount of points for doing different options.","team, ball, player, game, get, point, hit, member, goal, throw"
61,2,Skating with a pair something other than actual skates on ice.,"team, ball, player, game, get, point, hit, member, goal, throw"
62,1,Using trashcans to see who can roll down a hill the fastest,"would, sport, could, water, also, require, able, opponent, winner, certain"
63,0,Playing hide and go seek in a forest and see who is able to find other people the quickest.,"person, must, time, win, first, go, flag, balloon, end, give"
64,1,Using skateboards to play something similar to hockey on the streets. Perhaps have a ball and use a stick.,"would, sport, could, water, also, require, able, opponent, winner, certain"
65,1,See who can hit cans the most accurately with a sling shot.,"would, sport, could, water, also, require, able, opponent, winner, certain"
66,2,A sport where a person dives into a pool and tries to make the biggest splash they can.,"team, ball, player, game, get, point, hit, member, goal, throw"
67,4,A sport where a person climbs actual structures like buildings with a harness.,"target, even, participant, hole, difficult, maze, item, difficulty, wear, one"
68,2,Sport to see who can walk the fastest (speed-walking).,"team, ball, player, game, get, point, hit, member, goal, throw"
69,4,"Shooting an arrow or anything, but blind-folded.","target, even, participant, hole, difficult, maze, item, difficulty, wear, one"
70,2,See who can hit the hardest ball out into a field with an instrument (maybe tennis racket),"team, ball, player, game, get, point, hit, member, goal, throw"
71,0,Thumb-war contests,"person, must, time, win, first, go, flag, balloon, end, give"
72,0,See who can build a fire the fastest with an assortment of objects,"person, must, time, win, first, go, flag, balloon, end, give"
73,2,Catching random items with a rope/lasso,"team, ball, player, game, get, point, hit, member, goal, throw"
74,1,See who can last the longest in freezing water (maybe in a pond),"would, sport, could, water, also, require, able, opponent, winner, certain"
75,3,Baby wrestling with safety rules that do not let them get hurt too much but they see the first to get them on the floor first,"make, different, not, would, race, way, obstacle, people, also, good"
76,2,Rollerblade Basketball,"team, ball, player, game, get, point, hit, member, goal, throw"
77,2,Beach basketball but no bouncing and traveling is permitted,"team, ball, player, game, get, point, hit, member, goal, throw"
78,1,"Underwater Football, oxygen tanks will be provided.","would, sport, could, water, also, require, able, opponent, winner, certain"
79,3,Baby wrestling,"make, different, not, would, race, way, obstacle, people, also, good"
80,2,Skateboard with only one wheel,"team, ball, player, game, get, point, hit, member, goal, throw"
81,3,Kangaroo jumps boots opstical course race,"make, different, not, would, race, way, obstacle, people, also, good"
82,4,Suit and Tie indoor golf,"target, even, participant, hole, difficult, maze, item, difficulty, wear, one"
83,3,ping pong game with two or more tables. Ping pong will a round table,"make, different, not, would, race, way, obstacle, people, also, good"
84,2,okay so I am a really big basketball fan so we can maybe create a sport that is similar to that!,"team, ball, player, game, get, point, hit, member, goal, throw"
85,2,"We can have a ball and the offender is only allowed 4 movements and they have to either shoot from there or pass the ball but only two passes is allowed. So say you have one player throw the ball in, most of the time they throw it to the point guard so then point guard makes 4 movements toward the goal. They then have to stop and either shoot it from where they are or pass the ball. this is kind of stupid but I'm trying (this is a really hard thing to do). okay so when the point guard or whoever rebounded the ball in, passes the ball that offender only can make 4 movements. They then can choose to shoot.. or pass but this is their last pass. so kind of like freeze tag basketball ... or like maybe they can have like a buzzer sound so scratch what I said and like they can move however much they want (but they can't pass the ball) until a buzzer (it has to be randomized to eliminate bias)","team, ball, player, game, get, point, hit, member, goal, throw"
86,1,"i like the idea of having a limited amount of movement or some kind of challenge aspect. maybe we could combine this with something else too, like the multiple balls and multiples ways to score. So that a lot of different stuff is happening at the same time. For example, like one part of the team is trying to shoot one ball in the basket, while the others are trying to throw a football back and forth into an endzone, and it all going on on the same field, so people can jump between tryng to shoot a basket and trying to score touchdowns(this is where the strategy would go into it)","would, sport, could, water, also, require, able, opponent, winner, certain"
87,3,i really like the idea of different types of scoring,"make, different, not, would, race, way, obstacle, people, also, good"
88,1,im a big football fan so i think we should try to combine both sports,"would, sport, could, water, also, require, able, opponent, winner, certain"
89,1,i think we should try to find a way to combine football and basketball,"would, sport, could, water, also, require, able, opponent, winner, certain"
90,2,The person with the ball shouldn't be able to move. maybe have some kind of passing regulations -- like you can't pass the ball to the same person in a row and you can only pass to same person after you pass it to everyone else on the team. everyone participates and no one is left out. and since the other team may know who you'll pass to if it's down to 1 or 2 people it makes it more challenging.,"team, ball, player, game, get, point, hit, member, goal, throw"
91,1,"Maybe limit the amount to around 10, because you don't want the field to be filled with people and it would be hard to keep track of who has the ball and who's following regulations or not. Maybe have two umpires with both sides of the field to make sure the rules are intact","would, sport, could, water, also, require, able, opponent, winner, certain"
92,2,"Since in harry potter they have hoops to hit the quidditch through, maybe we can have hoops as well with different sizes. The smaller the hoop, the more points you get. Maybe have 3-4 different sizes that are spread out through the field or maybe have all of them back to back in one scoring area","team, ball, player, game, get, point, hit, member, goal, throw"
93,1,"And maybe there can be some kind of penalty for the other team -- like if they're behind by a certain amount of points. The larger the gap, the bigger the penalty will be","would, sport, could, water, also, require, able, opponent, winner, certain"
94,2,Maybe can use large inflatable balls. Should perhaps be on a field with goals like in soccer.,"team, ball, player, game, get, point, hit, member, goal, throw"
95,2,Maybe have a larger court than a regular basketball court since rollerblading isn't as tiring than being on foot,"team, ball, player, game, get, point, hit, member, goal, throw"
96,3,"Maybe have variations of land such as gravel, grass, rocks, etc. to make it more challenging","make, different, not, would, race, way, obstacle, people, also, good"
97,2,"With the round table you'll have more space to run around. Maybe do 3 v 3 with this table and same rules with ping pong except you have to feed (serving to) the only one person the entire round instead of alternating. After that people have to alternate hitting the ball (same person can't hit the ball twice in a row, so everyone has to go)","team, ball, player, game, get, point, hit, member, goal, throw"
98,1,Have a sport kind of like air hockey but in a square so there would be 4 players. Maybe in the middle of the air hockey table there can be some kind of obstacles (similar to pinball) so they'd have to use certain techniques in order to score past certain goals,"would, sport, could, water, also, require, able, opponent, winner, certain"
99,2,Not blind folded but instead a sequence of targets coming up at the same time will make it more interesting.,"team, ball, player, game, get, point, hit, member, goal, throw"
100,4,Rams to fly off on and the rims will be shorter for lay ups and dunks,"target, even, participant, hole, difficult, maze, item, difficulty, wear, one"
101,2,This sport will be better in teams,"team, ball, player, game, get, point, hit, member, goal, throw"
102,2,"Steps on the sand are limited so you can either shoot the ball or pass it, running around the field is prohibited","team, ball, player, game, get, point, hit, member, goal, throw"
103,1,This a good idea but I think you should have some form of stipulations. So like in basketball/football they let you fumble with the ball for a minute and then the refs intervene... so like with the live ball if you can keep it live until someone starts fighting are something then who ever is in possession gets it!,"would, sport, could, water, also, require, able, opponent, winner, certain"
104,2,"That would be cool to have a big team. maybe you have like a huge basketball team that plays at a football stadium or something, so it can fit all the team members.","team, ball, player, game, get, point, hit, member, goal, throw"
105,2,"Like one of those blow-up balls that you play with in the pool. it can be like a soccer, volleyball, basketball mix type sport and the opposing team can't cross a certain line... and if the ball goes in the opposing team goal then they score (it would be really cool if there was no designated goally) then you can like add a little fun so like add freeze or something like that so if the music stop playing then the opposing team has to stop what they're doing and give the team 1 chance to score with no defense,","team, ball, player, game, get, point, hit, member, goal, throw"
106,1,"That would be cool, like apart of track and field. then you can have different age groups.","would, sport, could, water, also, require, able, opponent, winner, certain"
107,2,"that would be dope, so where would this be held in. like still the same facilities, rules, everything?","team, ball, player, game, get, point, hit, member, goal, throw"
108,1,"this is a great idea. what would the rules of this game be though and where would it be held, in a ocean, pond, pool? The side lines and coaches could be on this boat. each player is in for 5-10 minutes. except the QB he can be in for as long as the tank works. how would you be able to measure yardage. have like floating plastic or something. if you do it in the pool you can have it on the outlining of the pool though.","would, sport, could, water, also, require, able, opponent, winner, certain"
109,3,"This is dope too. the things you have to put in consideration is where would you play this at though. like if it is in a football sized pool, the rules(not really the rules but the guidelines you can say) would be different than it being in the ocean or somewhere. The pool can have the yardage on the sidelines, but in the ocean you maybe can have some type of floatation device that calculates the yardage.","make, different, not, would, race, way, obstacle, people, also, good"
110,1,"Also you have to put the oxygen tanks into consideration because the heavier breathing there is the more oxygen your requiring, so either your only going to allow the player like 5 min or something...","would, sport, could, water, also, require, able, opponent, winner, certain"
111,1,the tittle could be something like Tumbleweeball,"would, sport, could, water, also, require, able, opponent, winner, certain"
112,2,roller-skate soccer,"team, ball, player, game, get, point, hit, member, goal, throw"
113,2,skateboard ultimate frisbee,"team, ball, player, game, get, point, hit, member, goal, throw"
114,4,Cross-country electric scooter race. With accuracy shooting every 2 miles,"target, even, participant, hole, difficult, maze, item, difficulty, wear, one"
115,1,"hat hockey on ball bearing shoes. Basically like frisbee on ice using a hat, but also on ball bearing shoes","would, sport, could, water, also, require, able, opponent, winner, certain"
116,3,Synchronized downhill wheelchair races,"make, different, not, would, race, way, obstacle, people, also, good"
117,1,lacrosse with coffee cups instead of lacrosse sticks,"would, sport, could, water, also, require, able, opponent, winner, certain"
118,2,The game will consist of four bases.,"team, ball, player, game, get, point, hit, member, goal, throw"
119,2,The ball will be similiar to a bounce ball,"team, ball, player, game, get, point, hit, member, goal, throw"
120,2,Players will be allowed to hit the ball with a golf club.,"team, ball, player, game, get, point, hit, member, goal, throw"
121,2,The game will be like a blended game of golf and baseball.,"team, ball, player, game, get, point, hit, member, goal, throw"
122,1,"Fouls, strikes, and home runs will be in the rule book.","would, sport, could, water, also, require, able, opponent, winner, certain"
123,2,Players will be restricted to 3 tries before considered being out.,"team, ball, player, game, get, point, hit, member, goal, throw"
124,2,Players will be allowed to skip base.,"team, ball, player, game, get, point, hit, member, goal, throw"
125,2,"When ""pitching"" the ball, the pitcher in this gamer is callled the roller.","team, ball, player, game, get, point, hit, member, goal, throw"
126,2,The ball will be rolled to the player on the opposite end with the golf club.,"team, ball, player, game, get, point, hit, member, goal, throw"
127,2,"In baseball they call the mats player stand on bases, in this sport they bases are known as plates.","team, ball, player, game, get, point, hit, member, goal, throw"
128,2,"The four plate names are: Home Plate, First Plate, Second Plate, Third Plate","team, ball, player, game, get, point, hit, member, goal, throw"
129,1,"Players will wear golf tees with jersey number, baseball shorts, and football styled-shoes as the official sport uniform.","would, sport, could, water, also, require, able, opponent, winner, certain"
130,3,No helmets will be needed.,"make, different, not, would, race, way, obstacle, people, also, good"
131,2,Points will be scored when a player runs/reaches all four plates.,"team, ball, player, game, get, point, hit, member, goal, throw"
132,2,The game is divided into 12 sessions of each team recieving 1 hitting time per session.,"team, ball, player, game, get, point, hit, member, goal, throw"
133,2,"At the end of the game, the team with the most points will be claimed the winner.","team, ball, player, game, get, point, hit, member, goal, throw"
134,2,The sport will be called GolfBall.,"team, ball, player, game, get, point, hit, member, goal, throw"
135,0,Topic: To create a new sport,"person, must, time, win, first, go, flag, balloon, end, give"
136,3,New sport:  Bag Race,"make, different, not, would, race, way, obstacle, people, also, good"
137,0,"A bag race is like having several persons competing in a race. It involves energy, creativity, being focused and having the ability to strategies.  You have several persons get into each single emptied rice bag and line up.  could be between 3 to 10 persons.  They race from one end to the other, say from the beginning of a football field to the center of the field. They race to the center of the field and then return to the starting point, first to return to the stating point, wins the race.  Judges or referees will be on the side line to watch and reward the winner.  There may be from first to third places winners.  And they all get a prize each at the end of the race.","person, must, time, win, first, go, flag, balloon, end, give"
138,3,A Bag race involves 3 to 10 persons,"make, different, not, would, race, way, obstacle, people, also, good"
139,3,A bag race is like several persons getting into each individual bag to race.,"make, different, not, would, race, way, obstacle, people, also, good"
140,2,They are lined up from a starting point to the other.,"team, ball, player, game, get, point, hit, member, goal, throw"
141,2,They race from the starting point to the end point and then return to the starting point.,"team, ball, player, game, get, point, hit, member, goal, throw"
142,2,"The first to reach the end point and then return to the starting point still in the emptied bag, wins the reace.","team, ball, player, game, get, point, hit, member, goal, throw"
143,0,"prizes are awarded to first, second and third places winners.","person, must, time, win, first, go, flag, balloon, end, give"
144,2,SocBall,"team, ball, player, game, get, point, hit, member, goal, throw"
145,2,"This game would be similar to soccer. It would entail 11 people on each team. The idea of the game is to get the ball into the hands of your teammate standing in your designated endzone- much like soccer trying to score a goal in the goal box, except you are trying to get the ball to your teammate in SocBall.","team, ball, player, game, get, point, hit, member, goal, throw"
146,2,"The field is dividing into four sections. The two outer sections are the ""endzones"" and where you will have one player from your team, the goalie. The object of the game is to get the ball to your team's goal in your endzone. Within the endzones, only hands may used. In order for a point to count, the goalie must catch the ball using his/her hands.","team, ball, player, game, get, point, hit, member, goal, throw"
147,2,"The remaining two sections of the field is where the rest of the players on both teams will remain. All players, aside from the goalie, are only to use their feet- similar to soccer. No hands are allowed. The use of hands will result in a ""handball"" and the opposing team will receive a free kick.","team, ball, player, game, get, point, hit, member, goal, throw"
148,2,"The game starts with a kick-off. Each team chooses a side to defend. The ""goalie"" is on the opposite side that you are trying to defend. So you are defending the other teams goalie, because you do not want the other team to pass the ball to the ""goalies"" hands and score a point.","team, ball, player, game, get, point, hit, member, goal, throw"
149,2,"Similar soccer rules apply, such as out of bounds resulting in a throw in or free-kick. (A throw in is the only acceptable means for any other teammate aside from the goalie to use their hands.)","team, ball, player, game, get, point, hit, member, goal, throw"
150,2,"If the ball is directed to the goalie and hits the ground, the endzone is free game for additional players to enter. However, the ball must hit the ground prior to any players crossing over the endzone line. If a player crosses over the endzone line, prior to the play hitting the ground, this will result in a penalty.","team, ball, player, game, get, point, hit, member, goal, throw"
151,2,"If the opposing team (team trying to score) crosses over the line prior to the ball hitting the ground, the defending team receives a free kick from the endzone.","team, ball, player, game, get, point, hit, member, goal, throw"
152,2,"If the defending team (team trying to prevent the other team from scoring) crosses over the line prior to the ball hitting the ground, the opposing team receives a free kick from the center of the field (midfield point)","team, ball, player, game, get, point, hit, member, goal, throw"
153,2,"Inside the endzone: You cannot score inside of the endzone. If the ball hits the ground and players are allowed into the endzone, the ball must leave the endzone, requiring all players to leave the endzone as well and then re-enter and the goalie must receive the ball in his/her hands for a goal to count.","team, ball, player, game, get, point, hit, member, goal, throw"
154,2,SocBall is played in two halves. Each half consists of 45 minutes. Each team is allowed up to 20 players on a roster.,"team, ball, player, game, get, point, hit, member, goal, throw"
155,2,Subbing a player out for another may only occur when your team has possession of the ball after the ball as gone out of bounds or your team receives a free kick.,"team, ball, player, game, get, point, hit, member, goal, throw"
156,2,"There is no foul play, pushing or use of elbows. This will result in a foul kick and the opposing team can take the kick where the foul was made. If the foul is questionable by both teams, the referee will perform a ""drop ball"" where two opposing teammates stand face to face with a minimal distance between, and the referee will drop the ball in between the two. The ball is in play and free game once it hits the ground.","team, ball, player, game, get, point, hit, member, goal, throw"
157,2,UniBall,"team, ball, player, game, get, point, hit, member, goal, throw"
158,2,"This game is played on a unicycle and is similar to basketball. There are two teams. Each team consists of 9 players. You must remain on your unicycle at all times. Only one foot may touch the ground at a time. If both feet touch the ground this is called cycling. Cycling results in forfeiting the ball to the other team. The ball is similar to a basketball, but the nets are square instead of round.","team, ball, player, game, get, point, hit, member, goal, throw"
159,2,"There is no shot clock, but a player may not have possession of the ball for more than 20 seconds. The ball must make 2 consecutive passes prior to scoring a basket.","team, ball, player, game, get, point, hit, member, goal, throw"
160,1,"I really like this idea. It's got solid faceoff, offside, penalty, and scoring rules already set up. I like the idea of the sectors. I think of the field as kind of like an ellipse that has the two shallow sides being the ""endzones"" and the middle, including the ends, being the large area for the players to be in.  There isn't much I can add to this idea seeing as its already mostly developed, but in terms of playing quality we'll probably have to think up situations to where added rulings are needed.  For instance; to what extent can the goalie move within the endzone, and would there be penalties for the goalie missing the ball in the endzone?  These are just things that we would need to develop as we move along with such an endeavour.","would, sport, could, water, also, require, able, opponent, winner, certain"
161,2,is played in two halves. Each half consists of 45 minutes. Each team is allowed up to 20 players on a roster.,"team, ball, player, game, get, point, hit, member, goal, throw"
162,1,Have Racers of the same weight class roll down the hill.,"would, sport, could, water, also, require, able, opponent, winner, certain"
163,3,Each having to weave through obstacles on the way down the hill.,"make, different, not, would, race, way, obstacle, people, also, good"
164,0,Have goalies on the end. stationery to the opposing ends of the rink,"person, must, time, win, first, go, flag, balloon, end, give"
165,1,Winners complete in a series of several races to be claimed the winner,"would, sport, could, water, also, require, able, opponent, winner, certain"
166,1,have certain constructed skateboard just for this sport,"would, sport, could, water, also, require, able, opponent, winner, certain"
167,4,. The participants are are also uniformed so as to distinquish them.,"target, even, participant, hole, difficult, maze, item, difficulty, wear, one"
168,2,", there is also a referee or judges to manage the sport/game and to ensure fairplay on all sides.","team, ball, player, game, get, point, hit, member, goal, throw"
169,1,", a set of two opponent teams could compete in the sport.  For example a team could be challenge from one location or city  to the other city and they could compete for trophies etc.","would, sport, could, water, also, require, able, opponent, winner, certain"
170,2,", the prizes awarded, are to encourage more and frequent participation in the sports and to make it known or popular.is played in two halves. Each half consists of 45 minutes. Each team is allowed up to 20 players on a roster.","team, ball, player, game, get, point, hit, member, goal, throw"
171,2,"% good idea % , the ball will be pitched and then kicked by a player of the other team.  The player who kicked the ball will have to run from the first base and goes all the way round until he or she reaches the fourth base then it would be counted as a home run/ a point.","team, ball, player, game, get, point, hit, member, goal, throw"
172,2,", this sport is similar to what we referred to in Liberia as Kickball and is mainly played by girls.","team, ball, player, game, get, point, hit, member, goal, throw"
173,2,there are three teams and only one winner,"team, ball, player, game, get, point, hit, member, goal, throw"
174,3,"there obstacles throughout the race such as a going through hoops of all different sizes along the path, ramps for jumps and trick points and puddles of both water and mud","make, different, not, would, race, way, obstacle, people, also, good"
175,0,There obstacles and tasks that must be completed along the way.,"person, must, time, win, first, go, flag, balloon, end, give"
176,2,"One of these tasks is switching bags with a partner on your team. Only one team member may allow one of their feet to touch the ground. The other team member may not have their feet touching the ground at any time during the ""bag swap"" or it will result in a one-minute point deduction every time either members foot touches the ground (aside from the one foot the one team member is allowed)","team, ball, player, game, get, point, hit, member, goal, throw"
177,4,"Other obstacles: Bag hopping through tire loops, bag hopping through a tunnel","target, even, participant, hole, difficult, maze, item, difficulty, wear, one"
